Cluster	ID	Description	A	B	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio	gene_symbol
NCoR1_CpG	mmu05142	Chagas disease	41	1273	103/8890	1.54804018043372e-10	4.26363627404363e-09	2.46208991241589e-09	12633/16153/14103/23797/15979/16160/26420/19052/20296/20304/20302/18035/14281/18708/71978/26416/14102/12675/16176/14683/16159/24088/14679/18033/21898/16476/18710/12260/12262/16193/21899/18787/21937/21803/26417/12500/74769/14678/18707/16150/26419	41	0.0322073841319717	Cflar/Il10/Fasl/Akt3/Ifngr1/Il12b/Mapk9/Ppp2ca/Ccl2/Ccl5/Ccl3/Nfkbia/Fos/Pik3r1/Ppp2r2a/Mapk14/Fas/Chuk/Il1b/Gnas/Il12a/Tlr2/Gnai3/Nfkb1/Tlr4/Jun/Pik3r3/C1qb/C1qc/Il6/Tlr6/Serpine1/Tnfrsf1a/Tgfb1/Mapk3/Cd3d/Pik3cb/Gnai2/Pik3cd/Ikbkb/Mapk8/
NCoR1_CpG	mmu05167	Kaposi sarcoma-associated herpesvirus infection	69	1273	225/8890	1.60387571437378e-10	4.26363627404363e-09	2.46208991241589e-09	12912/17164/19225/23797/15979/56480/26420/320207/20848/26399/30955/18035/14281/12313/22031/80796/20963/18708/16195/14702/19057/19645/12524/57781/74603/15976/26416/22339/18018/14102/12675/21416/20779/277360/18019/18033/19055/17096/14700/16476/16451/18710/242705/14688/12571/16193/22190/16438/12122/21937/16439/26417/54123/12443/15894/74769/12387/12768/16452/12771/18707/14693/20846/16150/239849/20847/15251/26419/328572	69	0.0542026708562451	Creb1/Mapkapk2/Ptgs2/Akt3/Ifngr1/Tbk1/Mapk9/Pik3r5/Stat3/Map2k6/Pik3cg/Nfkbia/Fos/Calm1/Traf3/Calm4/Syk/Pik3r1/Il6st/Gng2/Ppp3cc/Rb1/Cd86/Cd200r1/Cd200r3/Ifnar2/Mapk14/Vegfa/Nfatc1/Fas/Chuk/Tcf7l2/Src/Prex1/Nfatc2/Nfkb1/Ppp3ca/Lyn/Gng10/Jun/Jak1/Pik3r3/E2f2/Gnb1/Cdk6/Il6/Ubc/Itpr1/Bid/Tnfrsf1a/Itpr2/Mapk3/Irf7/Ccnd1/Icam1/Pik3cb/Ctnnb1/Ccr1/Jak2/Ccr3/Pik3cd/Gnb2/Stat1/Ikbkb/Cd200r4/Stat2/Hif1a/Mapk8/Ep300/
NCoR1_CpG	mmu04658	Th1 and Th2 cell differentiation	37	1273	88/8890	1.89028699524063e-10	4.63847347293662e-09	2.67854432523976e-09	20849/15979/16160/26420/103806/20851/18035/14281/16450/19057/26416/14960/100504404/18037/18018/12675/18761/18128/18019/16159/18129/18033/19055/16476/16451/12399/19664/16190/26417/17132/270118/12500/16452/20846/16150/16191/26419	37	0.0290652003142184	Stat4/Ifngr1/Il12b/Mapk9/Maml1/Stat5b/Nfkbia/Fos/Jag2/Ppp3cc/Mapk14/H2-Aa/H2-Ea-ps/Nfkbie/Nfatc1/Chuk/Prkcq/Notch1/Nfatc2/Il12a/Notch2/Nfkb1/Ppp3ca/Jun/Jak1/Runx3/Rbpj/Il4ra/Mapk3/Maf/Maml2/Cd3d/Jak2/Stat1/Ikbkb/Il5/Mapk8/
NCoR1_CpG	mmu04933	AGE-RAGE signaling pathway in diabetic complications	40	1273	101/8890	3.11318229940069e-10	7.09360823934871e-09	4.09629249921143e-09	23797/26420/20296/20851/20848/72469/13614/18708/18753/26416/18712/22339/18754/13653/18018/74055/16175/16176/56458/18033/16476/18710/12540/16193/18787/12576/21803/18751/26417/12443/15894/17127/74769/13058/12827/237038/16452/18707/20846/26419	40	0.0314218381775334	Akt3/Mapk9/Ccl2/Stat5b/Stat3/Plcd3/Edn1/Pik3r1/Prkcd/Mapk14/Pim1/Vegfa/Prkce/Egr1/Nfatc1/Plce1/Il1a/Il1b/Foxo1/Nfkb1/Jun/Pik3r3/Cdc42/Il6/Serpine1/Cdkn1b/Tgfb1/Prkcb/Mapk3/Ccnd1/Icam1/Smad3/Pik3cb/Cybb/Col4a2/Nox1/Jak2/Pik3cd/Stat1/Mapk8/
NCoR1_CpG	mmu04062	Chemokine signaling pathway	61	1273	192/8890	3.93053372056159e-10	8.15514171219506e-09	4.70928823505737e-09	227288/12767/23797/215449/94176/320207/20296/20304/20302/20303/20851/20848/14784/30955/18035/140580/18708/14702/18753/19229/11515/21844/12458/22324/19877/12015/12675/22325/20779/277360/14679/57257/18033/17096/14700/18710/12540/14688/14772/17329/15945/19303/17969/18751/26417/12927/12145/74769/14678/80901/23832/12768/12766/16452/12771/18707/14693/20846/16150/20847/56221	61	0.0479183032207384	Cxcr1/Cxcr4/Akt3/Rap1b/Dock2/Pik3r5/Ccl2/Ccl5/Ccl3/Ccl4/Stat5b/Stat3/Grb2/Pik3cg/Nfkbia/Elmo1/Pik3r1/Gng2/Prkcd/Ptk2b/Adcy9/Tiam1/Ccr6/Vav1/Rock1/Bad/Chuk/Vav2/Src/Prex1/Gnai3/Vav3/Nfkb1/Lyn/Gng10/Pik3r3/Cdc42/Gnb1/Grk4/Cxcl9/Cxcl10/Pxn/Ncf1/Prkcb/Mapk3/Bcar1/Cxcr5/Pik3cb/Gnai2/Cxcr6/Xcr1/Ccr1/Cxcr3/Jak2/Ccr3/Pik3cd/Gnb2/Stat1/Ikbkb/Stat2/Ccl24/
NCoR1_CpG	mmu04670	Leukocyte transendothelial migration	44	1273	118/8890	4.0903532098784e-10	8.15514171219506e-09	4.70928823505737e-09	12767/16456/16414/215449/18613/11855/18708/22330/19229/12737/67374/22350/17356/26416/22324/67938/19877/22325/17395/18417/14679/57257/18710/12540/74734/22165/19303/19247/17969/11461/18751/16408/16409/12562/12927/13057/15894/74769/14678/12387/109711/13058/17698/18707	44	0.0345640219952867	Cxcr4/F11r/Itgb2/Rap1b/Pecam1/Arhgap5/Pik3r1/Vcl/Ptk2b/Cldn1/Jam2/Ezr/Afdn/Mapk14/Vav1/Myl12b/Rock1/Vav2/Mmp9/Cldn11/Gnai3/Vav3/Pik3r3/Cdc42/Rhoh/Txk/Pxn/Ptpn11/Ncf1/Actb/Prkcb/Itgal/Itgam/Cdh5/Bcar1/Cyba/Icam1/Pik3cb/Gnai2/Ctnnb1/Actn1/Cybb/Msn/Pik3cd/
NCoR1_CpG	mmu05140	Leishmaniasis	31	1273	70/8890	1.20583462229692e-09	2.26271320301598e-08	1.30663194366539e-08	16153/19225/246256/14131/15979/16414/16160/18035/14281/26416/14960/100504404/16175/16176/16159/24088/18033/21898/16476/16451/17969/15170/21803/18751/26417/16409/13057/13627/13058/16452/20846	31	0.0243519245875884	Il10/Ptgs2/Fcgr4/Fcgr3/Ifngr1/Itgb2/Il12b/Nfkbia/Fos/Mapk14/H2-Aa/H2-Ea-ps/Il1a/Il1b/Il12a/Tlr2/Nfkb1/Tlr4/Jun/Jak1/Ncf1/Ptpn6/Tgfb1/Prkcb/Mapk3/Itgam/Cyba/Eef1a1/Cybb/Jak2/Stat1/
NCoR1_CpG	mmu05161	Hepatitis B	53	1273	163/8890	2.24823082256085e-09	3.98436462442729e-08	2.30082101724064e-08	20849/12912/14103/23797/11783/56480/26420/20851/20848/26399/14784/18035/14281/22031/18708/26401/19229/13655/19645/22631/26416/225471/18018/12015/14102/12675/20779/17395/18019/24088/18033/21898/16476/16451/18710/242705/16193/12122/21803/18751/26417/54123/117149/17127/74769/20493/16452/18707/20846/16150/20847/26419/328572	53	0.0416339355852317	Stat4/Creb1/Fasl/Akt3/Apaf1/Tbk1/Mapk9/Stat5b/Stat3/Map2k6/Grb2/Nfkbia/Fos/Traf3/Pik3r1/Map3k1/Ptk2b/Egr3/Rb1/Ywhaz/Mapk14/Ticam2/Nfatc1/Bad/Fas/Chuk/Src/Mmp9/Nfatc2/Tlr2/Nfkb1/Tlr4/Jun/Jak1/Pik3r3/E2f2/Il6/Bid/Tgfb1/Prkcb/Mapk3/Irf7/Tirap/Smad3/Pik3cb/Slc10a1/Jak2/Pik3cd/Stat1/Ikbkb/Stat2/Mapk8/Ep300/
NCoR1_CpG	mmu05164	Influenza A	55	1273	173/8890	2.81800801220271e-09	4.73128713627719e-08	2.73214073205249e-08	24014/14103/23797/15979/11783/56480/16160/216799/20296/20304/217069/12702/18035/13665/22031/18708/100037258/12265/15976/100503895/14960/100504404/12445/14102/12675/16175/16176/16159/18033/21898/16451/18710/12571/16193/15945/246727/11461/67373/22074/12122/21937/232989/18751/26417/54123/15894/214523/16173/74769/16452/18707/20846/16150/20847/328572	55	0.0432050274941084	Rnasel/Fasl/Akt3/Ifngr1/Apaf1/Tbk1/Il12b/Nlrp3/Ccl2/Ccl5/Trim25/Socs3/Nfkbia/Eif2s1/Traf3/Pik3r1/Dnajc3/Ciita/Ifnar2/Tpsab1/H2-Aa/H2-Ea-ps/Ccnd3/Fas/Chuk/Il1a/Il1b/Il12a/Nfkb1/Tlr4/Jak1/Pik3r3/Cdk6/Il6/Cxcl10/Oas3/Actb/2210010C04Rik/Try4/Bid/Tnfrsf1a/Hnrnpul1/Prkcb/Mapk3/Irf7/Icam1/Tmprss4/Il18/Pik3cb/Jak2/Pik3cd/Stat1/Ikbkb/Stat2/Ep300/
NCoR1_CpG	mmu04659	Th17 cell differentiation	39	1273	104/8890	3.35395028221169e-09	5.34955070012765e-08	3.08916473361603e-08	15979/26420/19401/20851/20848/11622/18035/14281/15519/16195/19057/16180/12394/26416/14960/100504404/18037/18018/12675/18761/16176/18019/16194/18033/19055/16476/16451/16193/21803/16190/26417/12500/17127/16452/20846/16150/83430/15251/26419	39	0.0306362922230951	Ifngr1/Mapk9/Rara/Stat5b/Stat3/Ahr/Nfkbia/Fos/Hsp90aa1/Il6st/Ppp3cc/Il1rap/Runx1/Mapk14/H2-Aa/H2-Ea-ps/Nfkbie/Nfatc1/Chuk/Prkcq/Il1b/Nfatc2/Il6ra/Nfkb1/Ppp3ca/Jun/Jak1/Il6/Tgfb1/Il4ra/Mapk3/Cd3d/Smad3/Jak2/Stat1/Ikbkb/Il23a/Hif1a/Mapk8/
NCoR1_CpG	mmu04015	Rap1 signaling pathway	63	1273	214/8890	6.1672349685727e-09	9.29204618532477e-08	5.36580789451191e-08	23797/11540/16414/215449/16822/192786/26399/238130/217692/12313/217944/80796/14062/18708/23880/11515/21844/17356/26416/22339/22324/13640/75292/14164/93737/74055/54519/22325/19730/107746/20779/14683/76089/54635/12977/14679/57257/18710/12540/15234/16590/16542/11461/14254/17295/101540/18751/26417/16408/16409/12927/244668/74769/17532/14678/12387/51791/18759/18707/50791/65086/14177/56044	63	0.0494893951296151	Akt3/Adora2a/Itgb2/Rap1b/Lcp2/Rapgef6/Map2k6/Dock4/Sipa1l1/Calm1/Rapgef5/Calm4/F2r/Pik3r1/Fyb/Adcy9/Tiam1/Afdn/Mapk14/Vegfa/Vav1/Efna5/Prkd3/Fgf1/Pard6g/Plce1/Apbb1ip/Vav2/Ralgds/Rapgef1/Src/Gnas/Rapgef2/Pdgfc/Csf1/Gnai3/Vav3/Pik3r3/Cdc42/Hgf/Kit/Kdr/Actb/Flt1/Met/Prkd2/Prkcb/Mapk3/Itgal/Itgam/Bcar1/Sipa1l2/Pik3cb/Mras/Gnai2/Ctnnb1/Rgs14/Prkci/Pik3cd/Magi2/Lpar3/Fgf6/Rala/
NCoR1_CpG	mmu04210	Apoptosis	46	1273	136/8890	6.40830771401708e-09	9.29204618532477e-08	5.36580789451191e-08	12633/14103/23797/11545/12334/26408/11783/26420/53859/18035/13665/14281/23882/18708/13030/12983/18607/13163/16906/58801/12015/14102/12675/20740/22029/69601/12125/16905/18033/16476/18710/11461/16438/12122/53857/21937/16439/13032/26417/74769/17210/18707/13036/17873/16150/26419	46	0.0361351139041634	Cflar/Fasl/Akt3/Parp1/Capn2/Map3k5/Apaf1/Mapk9/Map3k14/Nfkbia/Eif2s1/Fos/Gadd45g/Pik3r1/Ctsb/Csf2rb/Pdpk1/Daxx/Lmnb1/Pmaip1/Bad/Fas/Chuk/Sptan1/Traf1/Dab2ip/Bcl2l11/Lmna/Nfkb1/Jun/Pik3r3/Actb/Itpr1/Bid/Tuba8/Tnfrsf1a/Itpr2/Ctsc/Mapk3/Pik3cb/Mcl1/Pik3cd/Ctsh/Gadd45b/Ikbkb/Mapk8/
NCoR1_CpG	mmu05162	Measles	48	1273	146/8890	8.6105394811512e-09	1.19424438890749e-07	6.89631308559021e-08	14103/14130/27218/23797/21929/11783/56480/16160/26420/20851/20848/18035/13665/14281/22031/18708/68135/208650/15976/12445/12015/14102/12675/16175/16176/16159/24088/18033/21898/16476/16451/18710/12571/16193/246727/12122/12444/12576/54123/12443/12500/74769/17698/18707/20846/16150/20847/26419	48	0.0377062058130401	Fasl/Fcgr2b/Slamf1/Akt3/Tnfaip3/Apaf1/Tbk1/Il12b/Mapk9/Stat5b/Stat3/Nfkbia/Eif2s1/Fos/Traf3/Pik3r1/Eif3h/Cblb/Ifnar2/Ccnd3/Bad/Fas/Chuk/Il1a/Il1b/Il12a/Tlr2/Nfkb1/Tlr4/Jun/Jak1/Pik3r3/Cdk6/Il6/Oas3/Bid/Ccnd2/Cdkn1b/Irf7/Ccnd1/Cd3d/Pik3cb/Msn/Pik3cd/Stat1/Ikbkb/Stat2/Mapk8/
NCoR1_CpG	mmu05222	Small cell lung cancer	35	1273	93/8890	1.92087924534568e-08	2.54862338894165e-07	1.47173434438142e-07	19225/23797/22033/16773/11783/16400/18035/17187/22031/66197/23882/18708/16398/14198/218772/19645/27401/19211/12675/22029/16403/16410/18033/12579/18710/242705/12571/12576/12443/624855/74769/12827/18707/17873/16150	35	0.0274941084053417	Ptgs2/Akt3/Traf5/Lama2/Apaf1/Itga3/Nfkbia/Max/Traf3/Cks2/Gadd45g/Pik3r1/Itga2/Fhit/Rarb/Rb1/Skp2/Pten/Chuk/Traf1/Itga6/Itgav/Nfkb1/Cdkn2b/Pik3r3/E2f2/Cdk6/Cdkn1b/Ccnd1/Cks1brt/Pik3cb/Col4a2/Pik3cd/Gadd45b/Ikbkb/
NCoR1_CpG	mmu04810	Regulation of actin cytoskeleton	63	1273	220/8890	1.99735375308907e-08	2.54862338894165e-07	1.47173434438142e-07	18711/76709/74117/12767/16414/17931/16886/66713/77579/237860/16400/108083/320910/30938/14062/18708/16398/22330/17886/16402/105855/16419/107589/21844/22350/22324/67938/19877/11789/14164/18718/22325/227753/16403/16410/20779/54635/57257/18710/242687/12540/231637/19303/56378/11461/16801/20430/29875/66922/26417/16408/16409/16411/12927/69632/74769/17532/109711/17698/54004/19241/18707/14177	63	0.0494893951296151	Pikfyve/Arpc2/Actr3/Cxcr4/Itgb2/Ppp1r12a/Limk2/Actr2/Myh10/Ssh2/Itga3/Pip4k2b/Itgb8/Fgd3/F2r/Pik3r1/Itga2/Vcl/Myh9/Itga5/Nckap1l/Itgb5/Mylk/Tiam1/Ezr/Vav1/Myl12b/Rock1/Apc/Fgf1/Pip4k2a/Vav2/Gsn/Itga6/Itgav/Src/Pdgfc/Vav3/Pik3r3/Wasf2/Cdc42/Ssh1/Pxn/Arpc3/Actb/Arhgef1/Cyfip1/Iqgap1/Rras2/Mapk3/Itgal/Itgam/Itgax/Bcar1/Arhgef12/Pik3cb/Mras/Actn1/Msn/Diaph2/Tmsb4x/Pik3cd/Fgf6/
NCoR1_CpG	mmu05321	Inflammatory bowel disease	27	1273	62/8890	2.2066198730264e-08	2.70735284421316e-07	1.56339464688105e-07	16182/20849/16153/53791/15979/16160/20848/14960/100504404/18018/16175/16176/16159/24088/18033/21898/16476/16193/21803/16190/257632/17132/16173/17127/20846/83430/16191	27	0.021209740769835	Il18r1/Stat4/Il10/Tlr5/Ifngr1/Il12b/Stat3/H2-Aa/H2-Ea-ps/Nfatc1/Il1a/Il1b/Il12a/Tlr2/Nfkb1/Tlr4/Jun/Il6/Tgfb1/Il4ra/Nod2/Maf/Il18/Smad3/Stat1/Il23a/Il5/
NCoR1_CpG	mmu05163	Human cytomegalovirus infection	69	1273	256/8890	6.13978365232252e-08	7.25404068552179e-07	4.18893621503486e-07	12912/12767/19225/14103/23797/22033/17246/56480/20296/20304/20302/20303/20848/26399/14784/18035/12313/80796/18708/14702/19229/19057/19645/19219/11515/26416/22339/19877/18018/14102/12675/16410/16176/20779/18019/14683/16194/14679/18033/19055/19218/14700/16451/18710/242705/14688/12571/16193/19303/16438/12122/21937/16439/16801/75547/18751/26417/12443/12927/69632/214763/74769/14678/12387/12768/12771/18707/14693/16150	69	0.0542026708562451	Creb1/Cxcr4/Ptgs2/Fasl/Akt3/Traf5/Mdm2/Tbk1/Ccl2/Ccl5/Ccl3/Ccl4/Stat3/Map2k6/Grb2/Nfkbia/Calm1/Calm4/Pik3r1/Gng2/Ptk2b/Ppp3cc/Rb1/Ptger4/Adcy9/Mapk14/Vegfa/Rock1/Nfatc1/Fas/Chuk/Itgav/Il1b/Src/Nfatc2/Gnas/Il6ra/Gnai3/Nfkb1/Ppp3ca/Ptger3/Gng10/Jak1/Pik3r3/E2f2/Gnb1/Cdk6/Il6/Pxn/Itpr1/Bid/Tnfrsf1a/Itpr2/Arhgef1/Akap13/Prkcb/Mapk3/Ccnd1/Bcar1/Arhgef12/Cgas/Pik3cb/Gnai2/Ctnnb1/Ccr1/Ccr3/Pik3cd/Gnb2/Ikbkb/
