© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Tec Kinase Signaling	3.74E00	7.69E-02	NaN	FCER1G,FOS,FYN,GNG4,NFKB2,PIK3C2B,PIK3CB,PTK2B,RHOQ,RHOU,RND1,TNFSF10	
ILK Signaling	3.72E00	7.22E-02	NaN	BMP2,CDH1,FOS,NCK2,NFKB2,PARVB,PIK3C2B,PIK3CB,PPM1J,RHOQ,RHOU,RND1,SNAI1	
Phagosome Formation	3.69E00	8.85E-02	NaN	FCAMR,FCER1G,FCGR2A,FCGR3A/FCGR3B,ITGAM,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1	
IL-15 Production	3.63E00	8.7E-02	NaN	DYRK3,EPHB3,FGFR1,FGFR3,FYN,NFKB2,PEAK1,PTK2B,RYK,TNK2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.54E00	6.57E-02	NaN	ADAMTS4,BMP1,BMP2,FOS,FZD7,FZD8,IL10,IL1R1,IL1RN,MMP13,PIK3C2B,PIK3CB,PTK2B,SMAD6	
JAK/Stat Signaling	3.42E00	1E-01	NaN	CDKN1A,CEBPB,FOS,NFKB2,PIK3C2B,PIK3CB,PTPN1,SOCS3	
Colorectal Cancer Metastasis Signaling	3.4E00	6.1E-02	NaN	CDH1,FOS,FZD7,FZD8,GNG4,MMP10,MMP12,MMP13,NFKB2,PIK3C2B,PIK3CB,RALGDS,RHOQ,RHOU,RND1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.35E00	2.35E-01	NaN	CCL2,CCL4,IL10,LCN2	
PKCθ Signaling in T Lymphocytes	3.34E00	7.43E-02	NaN	CACNA1B,CACNA1F,FCER1G,FOS,FYN,GRAP2,HLA-DMB,HLA-DQA1,NFKB2,PIK3C2B,PIK3CB	
CD40 Signaling	3.29E00	1.09E-01	NaN	FOS,MAPKAPK2,NFKB2,PIK3C2B,PIK3CB,TNFAIP3,TRAF1	
IL-10 Signaling	3.21E00	1.06E-01	NaN	FCGR2A,FOS,IL10,IL1R1,IL1RN,NFKB2,SOCS3	
Integrin Signaling	3.2E00	6.37E-02	NaN	FYN,ITGA1,ITGA6,ITGA8,ITGAM,NCK2,PARVB,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1,TNK2	
Inflammasome pathway	3.16E00	2.11E-01	NaN	CTSB,NFKB2,NLRC4,PANX1	
CD28 Signaling in T Helper Cells	3.07E00	8.04E-02	NaN	FCER1G,FOS,FYN,GRAP2,HLA-DMB,HLA-DQA1,NFKB2,PIK3C2B,PIK3CB	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.92E00	5.69E-02	NaN	CCND2,FCGR2A,FOS,FYN,IL10,LILRB3,NFKB2,PIK3C2B,PIK3CB,SHC2,TNFSF10,Tnfsf9,TRAF1,TRAF4	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.9E00	1.35E-01	NaN	CCL2,CCL4,IL17RA,MMP13,NFKB2	
T Cell Exhaustion Signaling Pathway	2.89E00	6.99E-02	NaN	FCER1G,FOS,HLA-DMB,HLA-DQA1,IL10,MGAT5,PDK1,PIK3C2B,PIK3CB,PPM1J	
Semaphorin Signaling in Neurons	2.84E00	1.07E-01	NaN	DPYSL2,FYN,RHOQ,RHOU,RND1,SEMA7A	
Role of NFAT in Regulation of the Immune Response	2.82E00	6.43E-02	NaN	FCER1G,FCGR2A,FCGR3A/FCGR3B,FOS,FYN,GNG4,HLA-DMB,HLA-DQA1,NFKB2,PIK3C2B,PIK3CB	
IL-6 Signaling	2.81E00	7.38E-02	NaN	CEBPB,FOS,IL1R1,IL1RN,MAPKAPK2,NFKB2,PIK3C2B,PIK3CB,SOCS3	
PI3K/AKT Signaling	2.79E00	6.36E-02	NaN	CDKN1A,CSF2RB,IL13RA1,IL17RA,IL17RD,IL1R1,IL21R,IL2RA,NFKB2,PIK3CB,PPM1J	
Breast Cancer Regulation by Stathmin1	2.74E00	4.25E-02	NaN	ADORA2A,CASR,CCND2,CCR3,E2F5,F2RL2,FFAR2,FZD7,FZD8,GNG4,GPR146,GPR65,HRH2,HTR7,NFKB2,P2RY12,P2RY13,P2RY14,PIK3C2B,PIK3CB,PPM1J,S1PR1,S1PR2,TUBB2A	
iCOS-iCOSL Signaling in T Helper Cells	2.67E00	7.69E-02	NaN	FCER1G,GRAP2,HLA-DMB,HLA-DQA1,IL2RA,NFKB2,PIK3C2B,PIK3CB	
BAG2 Signaling Pathway	2.65E00	1.19E-01	NaN	ANXA2,CDKN1A,CTSB,MAPKAPK2,NFKB2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.65E00	8.54E-02	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL10,IL1RN,NFKB2,SLAMF1	
Paxillin Signaling	2.64E00	7.62E-02	NaN	ITGA1,ITGA6,ITGA8,ITGAM,NCK2,PIK3C2B,PIK3CB,PTK2B	
G-Protein Coupled Receptor Signaling	2.59E00	5.24E-02	NaN	ADORA2A,DUSP1,FYN,HRH2,HTR7,NFKB2,P2RY12,P2RY13,P2RY14,PDE4B,PIK3C2B,PIK3CB,PTK2B,S1PR1	
Th1 Pathway	2.57E00	7.41E-02	NaN	HLA-DMB,HLA-DQA1,IL10,NOTCH1,PIK3C2B,PIK3CB,PSEN2,SOCS3	
3-phosphoinositide Biosynthesis	2.56E00	6.33E-02	NaN	DUSP1,MTMR6,PAWR,PIK3C2B,PIK3CB,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
Dendritic Cell Maturation	2.55E00	6.29E-02	NaN	FCER1G,FCGR2A,FCGR3A/FCGR3B,HLA-DMB,HLA-DQA1,IL10,IL1RN,NFKB2,PIK3C2B,PIK3CB	
Glioblastoma Multiforme Signaling	2.49E00	6.17E-02	NaN	CDKN1A,E2F5,FZD7,FZD8,PDGFA,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1	
Superpathway of Inositol Phosphate Compounds	2.47E00	5.79E-02	NaN	DUSP1,ITPKB,MTMR6,PAWR,PIK3C2B,PIK3CB,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.47E00	5.79E-02	NaN	CDH1,FGFR1,FGFR3,FZD7,FZD8,NFKB2,NOTCH1,PIK3C2B,PIK3CB,PSEN2,SNAI1	
IL-8 Signaling	2.45E00	5.76E-02	NaN	CCND2,CDH1,FOS,GNG4,ITGAM,PIK3C2B,PIK3CB,PTK2B,RHOQ,RHOU,RND1	
T Helper Cell Differentiation	2.45E00	8.96E-02	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL10,IL21R,IL2RA	
Endocannabinoid Cancer Inhibition Pathway	2.42E00	6.47E-02	NaN	CASP6,CASQ1,CCND2,CDH1,CDKN1A,PIK3C2B,PIK3CB,SMPD2,SMPD3	
CCR5 Signaling in Macrophages	2.42E00	7.78E-02	NaN	CACNA1B,CACNA1F,CCL4,FCER1G,FOS,GNG4,PTK2B	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.41E00	8.82E-02	NaN	IL21R,IL2RA,PIK3C2B,PIK3CB,PTK2B,SOCS3	
Th17 Activation Pathway	2.41E00	8.82E-02	NaN	FCER1G,IL10,IL1R1,IL21R,NFKB2,SOCS3	
Type II Diabetes Mellitus Signaling	2.4E00	6.43E-02	NaN	CACNA1B,CACNA1F,CEBPB,NFKB2,PIK3C2B,PIK3CB,SMPD2,SMPD3,SOCS3	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	2.4E00	2E-01	NaN	CCL2,CCL4,IL10	
Cardiac Hypertrophy Signaling (Enhanced)	2.39E00	4.26E-02	NaN	ATF6,CSF2RB,FGFR1,FGFR3,FZD7,FZD8,IL13RA1,IL17RA,IL17RD,IL1R1,IL21R,IL2RA,MAPKAPK2,NFKB2,PDE4B,PDK1,PIK3C2B,PIK3CB,TNFSF10,Tnfsf9	
Acute Phase Response Signaling	2.39E00	5.99E-02	NaN	CEBPB,CFB,CP,FOS,IL1R1,IL1RN,NFKB2,PIK3CB,SERPINE1,SOCS3	
TNFR2 Signaling	2.39E00	1.33E-01	NaN	FOS,NFKB2,TNFAIP3,TRAF1	
GP6 Signaling Pathway	2.37E00	6.9E-02	NaN	COL15A1,Col17a1,FCER1G,FYN,GRAP2,LAMC1,PIK3C2B,PIK3CB	
NF-κB Signaling	2.32E00	5.85E-02	NaN	BMP2,FCER1G,FGFR1,FGFR3,IL1R1,IL1RN,NFKB2,PIK3C2B,PIK3CB,TNFAIP3	
Toll-like Receptor Signaling	2.29E00	8.33E-02	NaN	FOS,IL1RN,NFKB2,TNFAIP3,TRAF1,TRAF4	
Senescence Pathway	2.27E00	5E-02	NaN	CDKN1A,CEBPB,E2F5,MAPK6,MAPKAPK2,MCU,NFKB2,PDK1,PIK3C2B,PIK3CB,PPM1J,SERPINE1,SMAD6	
Lymphotoxin β Receptor Signaling	2.25E00	9.62E-02	NaN	NFKB2,PIK3C2B,PIK3CB,TRAF1,TRAF4	
Sumoylation Pathway	2.24E00	7.22E-02	NaN	CDH1,FOS,NFKB2,RHOQ,RHOU,RND1,ZNF217	
IL-9 Signaling	2.24E00	1.21E-01	NaN	NFKB2,PIK3C2B,PIK3CB,SOCS3	
IL-17 Signaling	2.23E00	8.11E-02	NaN	CCL2,CEBPB,IL17RA,MAPKAPK2,PIK3C2B,PIK3CB	
Signaling by Rho Family GTPases	2.19E00	5.08E-02	NaN	CDH1,CDH17,CYFIP1,FOS,GNG4,NFKB2,PIK3C2B,PIK3CB,PTK2B,RHOQ,RHOU,RND1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.18E00	5.59E-02	NaN	CCL2,COL15A1,Col17a1,FGFR1,IL10,IL1R1,MMP13,NFKB2,PDGFA,SERPINE1	
MSP-RON Signaling Pathway	2.14E00	9.09E-02	NaN	CCL2,CSF2RB,ITGAM,PIK3C2B,PIK3CB	
White Adipose Tissue Browning Pathway	2.14E00	6.3E-02	NaN	CACNA1B,CACNA1F,CEBPB,FCER1G,FGFR1,FGFR3,RARG,VGF	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.14E00	4.65E-02	NaN	CASP6,CASQ1,FCER1G,FOS,HLA-DMB,HLA-DQA1,IL10,PDK1,PIK3C2B,PIK3CB,PPM1J,RHOQ,RHOU,RND1	
Sperm Motility	2.13E00	5.21E-02	NaN	DYRK3,EPHB3,FGFR1,FGFR3,FYN,NPPC,PDE4B,PEAK1,PTK2B,RYK,TNK2	
VDR/RXR Activation	2.12E00	7.69E-02	NaN	CASR,CDKN1A,CEBPB,PDGFA,SERPINB1,VDR	
Prolactin Signaling	2.07E00	7.5E-02	NaN	CEBPB,FOS,FYN,PIK3C2B,PIK3CB,SOCS3	
Inhibition of Matrix Metalloproteases	2.06E00	1.08E-01	NaN	MMP10,MMP12,MMP13,SDC2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.04E00	7.41E-02	NaN	FCER1G,FYN,GRAP2,PIK3C2B,PIK3CB,PPM1J	
Autoimmune Thyroid Disease Signaling	2.02E00	1.05E-01	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL10	
Graft-versus-Host Disease Signaling	2.02E00	1.05E-01	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL1RN	
Pancreatic Adenocarcinoma Signaling	2.02E00	6.54E-02	NaN	CDKN1A,E2F5,NFKB2,NOTCH1,PIK3C2B,PIK3CB,RALGDS	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2.01E00	5.97E-02	NaN	DUSP1,MTMR6,PAWR,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2.01E00	5.97E-02	NaN	DUSP1,MTMR6,PAWR,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
Leukocyte Extravasation Signaling	2E00	5.24E-02	NaN	CLDN4,ITGA1,ITGA6,ITGAM,MMP10,MMP12,MMP13,PIK3C2B,PIK3CB,PTK2B	
Dermatan Sulfate Biosynthesis (Late Stages)	1.98E00	1.03E-01	NaN	CHST11,CHST15,CHST7,HS6ST1	
Adrenomedullin signaling pathway	1.97E00	5.18E-02	NaN	CEBPB,FOS,IL1RN,KCNN4,MAPK6,NFKB2,PIK3C2B,PIK3CB,PTK2B,SHC2	
IL-2 Signaling	1.95E00	8.2E-02	NaN	FOS,IL2RA,PIK3C2B,PIK3CB,PTK2B	
Heparan Sulfate Biosynthesis (Late Stages)	1.93E00	8.06E-02	NaN	CHST11,CHST15,CHST7,EXT1,HS6ST1	
Natural Killer Cell Signaling	1.9E00	5.36E-02	NaN	FCER1G,FCGR2A,FCGR3A/FCGR3B,FYN,NFKB2,PIK3C2B,PIK3CB,PTK2B,TNFSF10	
Chondroitin Sulfate Biosynthesis (Late Stages)	1.9E00	9.76E-02	NaN	CHST11,CHST15,CHST7,HS6ST1	
Sphingomyelin Metabolism	1.9E00	2.5E-01	NaN	SMPD2,SMPD3	
Gustation Pathway	1.9E00	5.71E-02	NaN	CACNA1B,CACNA1F,P2RY12,P2RY13,P2RY14,PANX1,PDE4B,SCNN1A	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.88E00	5.67E-02	NaN	IL10,NFKB2,NLRC4,PIK3C2B,PIK3CB,RNASEL,TNFSF10,Tnfsf9	
Renin-Angiotensin Signaling	1.84E00	6.03E-02	NaN	CCL2,FOS,NFKB2,PIK3C2B,PIK3CB,PTK2B,SHC2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.82E00	5.98E-02	NaN	BMP1,BMP2,FZD7,FZD8,LIFR,PIK3C2B,PIK3CB	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.8E00	5.14E-02	NaN	FOS,NFKB2,PIK3C2B,PIK3CB,PPM1J,RHOQ,RHOU,RND1,SIRPA	
IL-23 Signaling Pathway	1.8E00	9.09E-02	NaN	NFKB2,PIK3C2B,PIK3CB,SOCS3	
PAK Signaling	1.77E00	6.45E-02	NaN	EPHB3,NCK2,PDGFA,PIK3C2B,PIK3CB,PTK2B	
PD-1, PD-L1 cancer immunotherapy pathway	1.77E00	6.45E-02	NaN	HLA-DMB,HLA-DQA1,IL2RA,LATS2,PIK3C2B,PIK3CB	
3-phosphoinositide Degradation	1.77E00	5.41E-02	NaN	DUSP1,MTMR6,PAWR,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
D-myo-inositol-5-phosphate Metabolism	1.75E00	5.37E-02	NaN	DUSP1,MTMR6,PAWR,PTPN1,PTPN2,PTPRO,SIRPA,SOCS3	
TGF-β Signaling	1.75E00	6.38E-02	NaN	BMP2,FOS,SERPINE1,SKI,SMAD6,VDR	
Heparan Sulfate Biosynthesis	1.74E00	7.25E-02	NaN	CHST11,CHST15,CHST7,EXT1,HS6ST1	
Bladder Cancer Signaling	1.73E00	6.32E-02	NaN	CDH1,CDKN1A,FGFR3,MMP10,MMP12,MMP13	
Small Cell Lung Cancer Signaling	1.69E00	7.04E-02	NaN	NFKB2,PIK3C2B,PIK3CB,TRAF1,TRAF4	
Glioma Invasiveness Signaling	1.69E00	7.04E-02	NaN	PIK3C2B,PIK3CB,RHOQ,RHOU,RND1	
Gαq Signaling	1.69E00	5.23E-02	NaN	GNG4,NFKB2,PIK3C2B,PIK3CB,PTK2B,RHOQ,RHOU,RND1	
TNFR1 Signaling	1.67E00	8.33E-02	NaN	CASP6,FOS,NFKB2,TNFAIP3	
HOTAIR Regulatory Pathway	1.67E00	5.19E-02	NaN	CDH1,CDKN1A,MMP10,MMP12,MMP13,NFKB2,PIK3C2B,PIK3CB	
Sulfite Oxidation IV	1.66E00	1E00	NaN	SUOX	
Gα12/13 Signaling	1.64E00	5.51E-02	NaN	CDH1,CDH17,F2RL2,NFKB2,PIK3C2B,PIK3CB,PTK2B	
Chondroitin Sulfate Biosynthesis	1.64E00	8.16E-02	NaN	CHST11,CHST15,CHST7,HS6ST1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.63E00	1.07E-01	NaN	CCL2,CCL4,IL1RN	
Melanoma Signaling	1.61E00	8E-02	NaN	CDH1,CDKN1A,PIK3C2B,PIK3CB	
Chemokine Signaling	1.6E00	6.67E-02	NaN	CCL2,CCL4,CCR3,FOS,PTK2B	
RAR Activation	1.59E00	4.74E-02	NaN	BMP2,CSF2RB,DUSP1,FOS,MAPKAPK2,NFKB2,PIK3CB,RARG,SMAD6	
Type I Diabetes Mellitus Signaling	1.59E00	5.88E-02	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL1R1,NFKB2,SOCS3	
Erythropoietin Signaling	1.58E00	6.58E-02	NaN	FOS,NFKB2,PIK3C2B,PIK3CB,SOCS3	
Germ Cell-Sertoli Cell Junction Signaling	1.56E00	4.94E-02	NaN	CDH1,ITGA6,PIK3C2B,PIK3CB,RHOQ,RHOU,RND1,TUBB2A	
Dermatan Sulfate Biosynthesis	1.56E00	7.69E-02	NaN	CHST11,CHST15,CHST7,HS6ST1	
Thyroid Cancer Signaling	1.56E00	6.49E-02	NaN	CDH1,FOS,PDK1,PIK3C2B,PIK3CB	
T Cell Receptor Signaling	1.56E00	5.77E-02	NaN	FOS,FYN,GRAP2,NFKB2,PIK3C2B,PIK3CB	
4-1BB Signaling in T Lymphocytes	1.52E00	9.68E-02	NaN	NFKB2,TNFRSF9,TRAF1	
Aryl Hydrocarbon Receptor Signaling	1.5E00	5.15E-02	NaN	CCND2,CDKN1A,CTSD,FOS,NFIA,NFKB2,RARG	
IL-4 Signaling	1.49E00	6.25E-02	NaN	HLA-DMB,HLA-DQA1,IL13RA1,PIK3C2B,PIK3CB	
Role of JAK2 in Hormone-like Cytokine Signaling	1.48E00	9.38E-02	NaN	PTPN1,SIRPA,SOCS3	
Insulin Receptor Signaling	1.47E00	5.07E-02	NaN	FYN,PIK3C2B,PIK3CB,PTPN1,RHOQ,SCNN1A,SOCS3	
HIF1α Signaling	1.47E00	5.5E-02	NaN	MAPK6,MMP10,MMP12,MMP13,PIK3C2B,PIK3CB	
NF-κB Activation by Viruses	1.46E00	6.1E-02	NaN	ITGA1,ITGA6,NFKB2,PIK3C2B,PIK3CB	
Allograft Rejection Signaling	1.43E00	7.02E-02	NaN	FCER1G,HLA-DMB,HLA-DQA1,IL10	
LPS/IL-1 Mediated Inhibition of RXR Function	1.42E00	4.41E-02	NaN	ABCA1,CHST11,CHST15,CHST7,CPT1A,HS6ST1,IL1R1,IL1RN,SMOX	
Atherosclerosis Signaling	1.42E00	5.36E-02	NaN	CCL2,CCR3,IL1RN,MMP13,NFKB2,PDGFA	
NGF Signaling	1.42E00	5.36E-02	NaN	NFKB2,PIK3C2B,PIK3CB,SMPD2,SMPD3,TRAF4	
FGF Signaling	1.42E00	5.95E-02	NaN	FGFR1,FGFR3,MAPKAPK2,PIK3C2B,PIK3CB	
Phospholipase C Signaling	1.41E00	4.2E-02	NaN	FCER1G,FCGR2A,FYN,GNG4,GRAP2,NFKB2,RALGDS,RHOQ,RHOU,RND1	
Cholecystokinin/Gastrin-mediated Signaling	1.41E00	5.31E-02	NaN	FOS,IL1RN,PTK2B,RHOQ,RHOU,RND1	
Role of Tissue Factor in Cancer	1.41E00	5.31E-02	NaN	FYN,ITGA6,MMP13,PIK3C2B,PIK3CB,PTK2B	
IL-12 Signaling and Production in Macrophages	1.39E00	5.26E-02	NaN	CEBPB,FOS,IL10,NFKB2,PIK3C2B,PIK3CB	
TWEAK Signaling	1.38E00	8.57E-02	NaN	CASP6,NFKB2,TRAF1	
RANK Signaling in Osteoclasts	1.38E00	5.81E-02	NaN	FOS,NFKB2,PIK3C2B,PIK3CB,PTK2B	
Neuroinflammation Signaling Pathway	1.37E00	4E-02	NaN	CCL2,FOS,HLA-DMB,HLA-DQA1,IL10,IL1R1,MAPK6,NFKB2,PIK3C2B,PIK3CB,PSEN2	
Anandamide Degradation	1.36E00	5E-01	NaN	NAAA	
Glycine Degradation (Creatine Biosynthesis)	1.36E00	5E-01	NaN	GAMT	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.36E00	5.17E-02	NaN	MAPK6,MAPKAPK2,PPM1J,TNFSF10,ZFP36,ZFP36L2	
Notch Signaling	1.35E00	8.33E-02	NaN	FURIN,NOTCH1,PSEN2	
IL-17A Signaling in Airway Cells	1.34E00	6.56E-02	NaN	IL17RA,NFKB2,PIK3C2B,PIK3CB	
Systemic Lupus Erythematosus Signaling	1.33E00	4.44E-02	NaN	FCER1G,FCGR2A,FCGR3A/FCGR3B,FOS,IL10,IL1RN,PIK3C2B,PIK3CB	
Salvage Pathways of Pyrimidine Ribonucleotides	1.29E00	5.49E-02	NaN	AK4,APOBEC1,CMPK2,DMPK,MAPK6	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.28E00	5.43E-02	NaN	FCGR2A,FCGR3A/FCGR3B,FYN,NCK2,PTK2B	
Cardiomyocyte Differentiation via BMP Receptors	1.27E00	1.18E-01	NaN	BMP2,SMAD6	
cAMP-mediated signaling	1.27E00	4.13E-02	NaN	ADORA2A,DUSP1,HRH2,HTR7,P2RY12,P2RY13,P2RY14,PDE4B,S1PR1	
Estrogen Receptor Signaling	1.27E00	3.74E-02	NaN	CDKN1A,FOS,MCU,MMP10,MMP12,MMP13,NFKB2,NOTCH1,PIK3C2B,PIK3CB,SHC2,SNAI1	
April Mediated Signaling	1.26E00	7.69E-02	NaN	FOS,NFKB2,TRAF1	
Pyrimidine Ribonucleotides Interconversion	1.26E00	7.69E-02	NaN	AK4,CMPK2,SLC25A42	
Gαi Signaling	1.26E00	4.88E-02	NaN	GNG4,P2RY12,P2RY13,P2RY14,RALGDS,S1PR1	
OX40 Signaling Pathway	1.26E00	6.15E-02	NaN	FCER1G,HLA-DMB,HLA-DQA1,NFKB2	
p53 Signaling	1.24E00	5.32E-02	NaN	CASP6,CCND2,CDKN1A,PIK3C2B,PIK3CB	
P2Y Purigenic Receptor Signaling Pathway	1.23E00	4.8E-02	NaN	FOS,GNG4,NFKB2,P2RY12,PIK3C2B,PIK3CB	
PTEN Signaling	1.23E00	4.8E-02	NaN	CDKN1A,CNKSR3,FGFR1,FGFR3,NFKB2,PIK3CB	
Actin Nucleation by ARP-WASP Complex	1.22E00	5.97E-02	NaN	NCK2,RHOQ,RHOU,RND1	
Reelin Signaling in Neurons	1.22E00	4.76E-02	NaN	FYN,ITGA1,ITGA6,PDK1,PIK3C2B,PIK3CB	
B Cell Activating Factor Signaling	1.21E00	7.32E-02	NaN	FOS,NFKB2,TRAF1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.21E00	7.32E-02	NaN	AK4,CMPK2,SLC25A42	
Growth Hormone Signaling	1.2E00	5.88E-02	NaN	FOS,PIK3C2B,PIK3CB,SOCS3	
UVA-Induced MAPK Signaling	1.2E00	5.15E-02	NaN	FOS,PIK3C2B,PIK3CB,SMPD2,SMPD3	
Thyroid Hormone Biosynthesis	1.19E00	3.33E-01	NaN	CTSD	
N-acetylglucosamine Degradation I	1.19E00	3.33E-01	NaN	GNPDA1	
GADD45 Signaling	1.19E00	1.05E-01	NaN	CCND2,CDKN1A	
TREM1 Signaling	1.18E00	5.8E-02	NaN	CCL2,IL10,NFKB2,NLRC4	
Basal Cell Carcinoma Signaling	1.18E00	5.8E-02	NaN	BMP1,BMP2,FZD7,FZD8	
