Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Retinoic acid Mediated Apoptosis Signaling	3.4E00	1.59E-01	NaN	CFLAR,IFNB1,IRF1,PARP10,PARP11,PARP14,PARP8	
Polyamine Regulation in Colon Cancer	3.3E00	2.27E-01	NaN	MAX,MXD1,MYC,PPARG,SAT1	
Eicosanoid Signaling	3.18E00	1.29E-01	NaN	ALOX5AP,CYSLTR1,FPR2,HPGDS,LTC4S,PLA2G5,PTGER2,PTGS1	
Thrombopoietin Signaling	3.13E00	1.27E-01	NaN	IRS2,MYC,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,STAT1	
fMLP Signaling in Neutrophils	3.08E00	9.73E-02	NaN	CYBB,FPR2,GNG12,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1	
Role of Tissue Factor in Cancer	3.08E00	9.73E-02	NaN	AKT3,CSF1,EGR1,ITGB5,MAPK11,PIK3CG,PLAUR,RAP2B,RASD1,SRC,YES1	
Cardiac Hypertrophy Signaling (Enhanced)	3.06E00	5.97E-02	NaN	AKT3,CYBB,FGFRL1,FZD5,IFNLR1,IL12A,IL12B,IL15,IL1A,IL1R2,IL2,IL6,ITPR1,ITPR2,MAPK11,MYC,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,RYR2,SMPDL3A,TGFBR1,TNF,TNFSF14,TNFSF8	
UVA-Induced MAPK Signaling	3.04E00	1.03E-01	NaN	MAPK11,PARP10,PARP11,PARP14,PARP8,PIK3CG,PLCB4,RAP2B,RASD1,STAT1	
OX40 Signaling Pathway	3.04E00	1.23E-01	NaN	BCL2,H2-M5,H2-T10,H2-T24,HLA-A,HLA-E,HLA-F,IL2	
Hematopoiesis from Pluripotent Stem Cells	3.03E00	1.62E-01	NaN	CSF1,IL12A,IL12B,IL1A,IL2,IL6	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	3.01E00	2.67E-01	NaN	IL12A,IL12B,IL6,TNF	
Renin-Angiotensin Signaling	2.99E00	9.48E-02	NaN	ITPR1,ITPR2,MAPK11,PIK3CG,PRKCH,PRKCZ,PTGER2,RAP2B,RASD1,STAT1,TNF	
VEGF Family Ligand-Receptor Interactions	2.99E00	1.1E-01	NaN	AKT3,FLT4,NRP1,PIK3CG,PLA2G5,PRKCH,PRKCZ,RAP2B,RASD1	
CCR3 Signaling in Eosinophils	2.96E00	9.4E-02	NaN	GNG12,ITPR1,ITPR2,MAPK11,PIK3CG,PLA2G5,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1	
T Helper Cell Differentiation	2.95E00	1.19E-01	NaN	HLA-A,IL12A,IL12B,IL2,IL6,STAT1,TGFBR1,TNF	
Adrenomedullin signaling pathway	2.95E00	7.77E-02	NaN	ADM,AKT3,BCL2,CFH,IL1A,ITPR1,ITPR2,MAPK11,MAX,PIK3CG,PLCB4,PPARG,RAP2B,RASD1,TNF	
Virus Entry via Endocytic Pathways	2.88E00	9.8E-02	NaN	HLA-A,HLA-E,HLA-F,ITGB5,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
EGF Signaling	2.81E00	1.27E-01	NaN	AKT3,ITPR1,ITPR2,MAPK11,PIK3CG,SRC,STAT1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	2.79E00	2.35E-01	NaN	IL12A,IL12B,IL1A,TNF	
CXCR4 Signaling	2.75E00	8.02E-02	NaN	AKT3,CXCR4,EGR1,GNG12,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
Death Receptor Signaling	2.73E00	1.01E-01	NaN	BCL2,CFLAR,DAXX,Naip1 (includes others),PARP10,PARP11,PARP14,PARP8,TNF	
Role of PKR in Interferon Induction and Antiviral Response	2.69E00	9.26E-02	NaN	CASP1,DDX58,EIF2AK2,IFIH1,IFNB1,IRF1,MAPK11,STAT1,STAT2,TNF	
Molecular Mechanisms of Cancer	2.69E00	6.05E-02	NaN	AKT3,ARHGEF6,BCL2,CCND3,CDK6,CFLAR,DAXX,DHH,FZD5,LRP1,MAPK11,MAX,MYC,Naip1 (includes others),PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SMAD3,SRC,TGFBR1	
Macropinocytosis Signaling	2.63E00	1.07E-01	NaN	CSF1,ITGB5,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
Natural Killer Cell Signaling	2.61E00	7.74E-02	NaN	AKT3,HLA-A,HLA-E,HLA-F,IL12A,IL12B,IL15,IL2,KLRB1,MAPK11,PIK3CG,RAP2B,RASD1	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.6E00	1.05E-01	NaN	AKT3,BCL2,IFNB1,MAPK11,PLA2G5,RAP2B,RASD1,TNF	
Atherosclerosis Signaling	2.57E00	8.93E-02	NaN	APOD,CSF1,CXCR4,IL1A,IL6,LYZ,PLA2G5,SELPLG,TNF,TNFSF14	
Cholecystokinin/Gastrin-mediated Signaling	2.54E00	8.85E-02	NaN	IL1A,ITPR1,ITPR2,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC,TNF	
FAT10 Cancer Signaling Pathway	2.53E00	1.3E-01	NaN	AKT3,CXCR4,IL6,SMAD3,TGFBR1,TNF	
STAT3 Pathway	2.46E00	8.15E-02	NaN	BCL2,FLT4,IFNLR1,IL1A,IL1R2,MAPK11,MYC,RAP2B,RASD1,SRC,TGFBR1	
Prolactin Signaling	2.46E00	1E-01	NaN	IRF1,MYC,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,STAT1	
Aryl Hydrocarbon Receptor Signaling	2.44E00	8.09E-02	NaN	CCND3,CDK6,GSTM4,GSTM5,IL1A,IL6,MYC,NCOA7,NQO2,SRC,TNF	
PEDF Signaling	2.42E00	9.88E-02	NaN	AKT3,BCL2,CFLAR,MAPK11,PIK3CG,PPARG,RAP2B,RASD1	
NF-κB Activation by Viruses	2.39E00	9.76E-02	NaN	AKT3,EIF2AK2,ITGB5,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
HER-2 Signaling in Breast Cancer	2.39E00	9.76E-02	NaN	AKT3,CDK6,ITGB5,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
Hematopoiesis from Multipotent Stem Cells	2.38E00	2.73E-01	NaN	CSF1,IL15,IL2	
Thrombin Signaling	2.34E00	6.93E-02	NaN	AKT3,ARHGEF6,GATA2,GNG12,ITPR1,ITPR2,MAPK11,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
UVC-Induced MAPK Signaling	2.3E00	1.18E-01	NaN	MAPK11,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
IL-6 Signaling	2.3E00	8.2E-02	NaN	AKT3,IL1A,IL1R2,IL1RAP,IL6,MAPK11,PIK3CG,RAP2B,RASD1,TNF	
Necroptosis Signaling Pathway	2.3E00	7.75E-02	NaN	AXL,CASP1,CFLAR,CYBB,EIF2AK2,IFNB1,PLA2G5,STAT1,STAT2,TNF,ZBP1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.28E00	1.03E-01	NaN	IL15,IL2,IRS2,PIK3CG,RAP2B,RASD1,STAT1	
Guanosine Nucleotides Degradation III	2.27E00	2.5E-01	NaN	NT5C3A,PNP,XDH	
14-3-3-mediated Signaling	2.23E00	8E-02	NaN	AKT3,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC,TNF,TUBA8	
Role of NFAT in Cardiac Hypertrophy	2.21E00	6.7E-02	NaN	AKT3,GNG12,IL6,ITPR1,ITPR2,MAPK11,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC,TGFBR1	
Sperm Motility	2.17E00	6.64E-02	NaN	AXL,CSF2RA,FLT4,ITK,ITPR1,ITPR2,PLA2G5,PLCB4,PRKCH,PRKCZ,SLC16A10,SRC,TEC,YES1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.17E00	5.98E-02	NaN	AKT3,CSF1,FZD5,IL15,IL1A,IL1R2,IL1RAP,IL6,LRP1,MYC,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC,TNF	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.16E00	2.31E-01	NaN	NT5C3A,PNP,XDH	
IL-8 Signaling	2.14E00	6.81E-02	NaN	AKT3,BCL2,CCND3,CYBB,FLT4,GNG12,ITGB5,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
MSP-RON Signaling Pathway	2.14E00	1.09E-01	NaN	CSF1,IL12A,IL12B,PIK3CG,PRKCZ,TNF	
LXR/RXR Activation	2.12E00	8.18E-02	NaN	ABCG1,APOD,IL1A,IL1R2,IL1RAP,IL6,LYZ,MYLIP,TNF	
NF-κB Signaling	2.12E00	7.02E-02	NaN	AKT3,AZI2,EIF2AK2,FLT4,IL1A,IL1R2,PIK3CG,PRKCZ,RAP2B,RASD1,TGFBR1,TNF	
IL-15 Signaling	2.11E00	9.59E-02	NaN	AKT3,IL15,MAPK11,MYC,PIK3CG,RAP2B,RASD1	
Non-Small Cell Lung Cancer Signaling	2.11E00	9.59E-02	NaN	AKT3,CDK6,ITPR1,ITPR2,PIK3CG,RAP2B,RASD1	
Hepatic Fibrosis Signaling Pathway	2.09E00	5.65E-02	NaN	AKT3,BCL2,CYBB,FLT4,FZD5,IL1A,IL1R2,IL1RAP,IRS2,MAPK11,MYC,PIK3CG,PPARG,PRKCH,PRKCZ,RAP2B,RASD1,SMAD3,TGFBR1,TNF	
Adenosine Nucleotides Degradation II	2.07E00	2.14E-01	NaN	NT5C3A,PNP,XDH	
Xenobiotic Metabolism General Signaling Pathway	2.07E00	7.58E-02	NaN	AKT3,GSTM4,GSTM5,MAPK11,NQO2,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
α-Adrenergic Signaling	2.06E00	8.6E-02	NaN	GNG12,ITPR1,ITPR2,PHKA2,PRKCH,PRKCZ,RAP2B,RASD1	
Xenobiotic Metabolism Signaling	2.05E00	6.08E-02	NaN	ABCC3,GSTM4,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,IL1A,IL6,MAPK11,NQO2,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,TNF	
Chemokine Signaling	2.05E00	9.33E-02	NaN	CXCR4,MAPK11,PIK3CG,PLCB4,RAP2B,RASD1,SRC	
Fc Epsilon RI Signaling	2.05E00	7.96E-02	NaN	AKT3,MAPK11,PIK3CG,PLA2G5,PRKCH,PRKCZ,RAP2B,RASD1,TNF	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.04E00	6.86E-02	NaN	AKT3,APOD,CYBB,IRF1,IRF8,LYZ,MAPK11,PIK3CG,PRKCH,PRKCZ,STAT1,TNF	
TGF-β Signaling	2.04E00	8.51E-02	NaN	BCL2,MAPK11,PMEPA1,RAP2B,RASD1,SMAD3,TGFBR1,TGIF1	
Erythropoietin Signaling	2.02E00	9.21E-02	NaN	AKT3,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
Nitric Oxide Signaling in the Cardiovascular System	2.01E00	8.42E-02	NaN	AKT3,FLT4,ITPR1,ITPR2,PIK3CG,PRKCH,PRKCZ,RYR2	
Tec Kinase Signaling	2E00	7.05E-02	NaN	GNG12,ITK,PIK3CG,PRKCH,PRKCZ,SRC,STAT1,STAT2,TEC,TNF,YES1	
Thyroid Cancer Signaling	1.99E00	9.09E-02	NaN	AKT3,CXCR4,IRS2,MYC,PIK3CG,RAP2B,RASD1	
IL-7 Signaling Pathway	1.99E00	9.09E-02	NaN	AKT3,BCL2,CCND3,MAPK11,MYC,PIK3CG,STAT1	
PI3K Signaling in B Lymphocytes	1.98E00	7.35E-02	NaN	AKT3,ATF5,IRS2,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCZ,RAP2B,RASD1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.97E00	6.7E-02	NaN	BCL2,CSF1,FLT4,IL1A,IL1R2,IL1RAP,IL6,KLF6,SMAD3,STAT1,TGFBR1,TNF	
Antigen Presentation Pathway	1.97E00	1.43E-01	NaN	HLA-A,HLA-E,HLA-F,NLRC5	
Colorectal Cancer Metastasis Signaling	1.97E00	6.1E-02	NaN	AKT3,FZD5,GNG12,IL6,LRP1,MYC,PIK3CG,PTGER2,RAP2B,RASD1,SMAD3,SRC,STAT1,TGFBR1,TNF	
IL-3 Signaling	1.96E00	8.97E-02	NaN	AKT3,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,STAT1	
Apelin Cardiomyocyte Signaling Pathway	1.96E00	8.25E-02	NaN	AKT3,ITPR1,MAPK11,PIK3CG,PLCB4,PRKCH,PRKCZ,SLC9A2	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.93E00	8.86E-02	NaN	AKT3,MAPK11,PIK3CG,RAP2B,RASD1,STAT1,STAT2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.92E00	1.38E-01	NaN	BCL2,HLA-A,HLA-E,HLA-F	
JAK/Stat Signaling	1.9E00	8.75E-02	NaN	AKT3,IL6,PIK3CG,RAP2B,RASD1,STAT1,STAT2	
G Beta Gamma Signaling	1.89E00	7.5E-02	NaN	AKT3,ARHGEF6,GNG12,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
Glioblastoma Multiforme Signaling	1.89E00	6.79E-02	NaN	AKT3,CDK6,FZD5,ITPR1,ITPR2,MYC,PIK3CG,PLCB4,RAP2B,RASD1,SRC	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	1.85E00	5.65E-02	NaN	AKT3,CASP1,H2-M5,H2-T10,H2-T24,HLA-A,HLA-E,HLA-F,IL12B,IL2,IL6,ITPR1,PIK3CG,RAP2B,RASD1,SELPLG,YES1	
Chronic Myeloid Leukemia Signaling	1.84E00	7.84E-02	NaN	AKT3,CDK6,MYC,PIK3CG,RAP2B,RASD1,SMAD3,TGFBR1	
Purine Nucleotides Degradation II (Aerobic)	1.83E00	1.76E-01	NaN	NT5C3A,PNP,XDH	
T Cell Receptor Signaling	1.79E00	7.69E-02	NaN	CTLA4,ITK,PAG1,PIK3CG,PTPN7,RAP2B,RASD1,TEC	
Myc Mediated Apoptosis Signaling	1.78E00	1.04E-01	NaN	BCL2,CFLAR,MAX,MYC,TNF	
P2Y Purigenic Receptor Signaling Pathway	1.78E00	7.2E-02	NaN	AKT3,GNG12,MYC,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1	
PTEN Signaling	1.78E00	7.2E-02	NaN	AKT3,BCL2,FLT4,MAGI3,PIK3CG,PRKCZ,RAP2B,RASD1,TGFBR1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.77E00	6.1E-02	NaN	AKT3,BCL2,CSF1,FZD5,IL1A,IL1R2,IL1RAP,IL6,LRP1,Naip1 (includes others),PIK3CG,SRC,TNF	
IL-10 Signaling	1.77E00	9.09E-02	NaN	IL1A,IL1R2,IL1RAP,IL6,MAPK11,TNF	
Leukocyte Extravasation Signaling	1.76E00	6.28E-02	NaN	ARHGAP8/PRR5-ARHGAP8,CLDN7,CXCR4,CYBB,ITK,MAPK11,PIK3CG,PRKCH,PRKCZ,SELPLG,SRC,TEC	
Opioid Signaling Pathway	1.75E00	5.88E-02	NaN	AKT3,ITPR1,ITPR2,MYC,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,RGS1,RGS14,RYR2,SRC,YES1	
Ceramide Signaling	1.74E00	8.14E-02	NaN	AKT3,BCL2,PIK3CG,PRKCZ,RAP2B,RASD1,TNF	
PDGF Signaling	1.74E00	8.14E-02	NaN	EIF2AK2,MYC,PIK3CG,RAP2B,RASD1,SRC,STAT1	
Gap Junction Signaling	1.73E00	6.22E-02	NaN	AKT3,GJB2,ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC,TUBA8	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.72E00	1.21E-01	NaN	DDX58,IFIH1,IFNB1,TRIM25	
IL-9 Signaling	1.72E00	1.21E-01	NaN	IRS2,PIK3CG,STAT1,TNF	
Melanoma Signaling	1.71E00	1E-01	NaN	AKT3,MITF,PIK3CG,RAP2B,RASD1	
HGF Signaling	1.7E00	7.41E-02	NaN	AKT3,ELK3,IL6,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
Acute Myeloid Leukemia Signaling	1.69E00	7.95E-02	NaN	AKT3,CSF2RA,MYC,PIK3CG,PML,RAP2B,RASD1	
TREM1 Signaling	1.68E00	8.7E-02	NaN	AKT3,CASP1,IL6,Naip1 (includes others),NLRC5,TNF	
Adipogenesis pathway	1.68E00	6.92E-02	NaN	DDIT3,EGR2,FGFRL1,FZD5,LPIN1,PPARG,SAP30,SMAD3,TNF	
GM-CSF Signaling	1.66E00	8.57E-02	NaN	AKT3,CSF2RA,PIK3CG,RAP2B,RASD1,STAT1	
Dermatan Sulfate Biosynthesis	1.64E00	9.62E-02	NaN	CHSY3,DSEL,HS3ST1,HS3ST3A1,HS3ST3B1	
Small Cell Lung Cancer Signaling	1.63E00	8.45E-02	NaN	AKT3,BCL2,CDK6,MAX,MYC,PIK3CG	
CD28 Signaling in T Helper Cells	1.61E00	7.14E-02	NaN	AKT3,CTLA4,HLA-A,IL2,ITK,ITPR1,ITPR2,PIK3CG	
Granulocyte Adhesion and Diapedesis	1.6E00	6.41E-02	NaN	CLDN7,Cxcl11,CXCL13,CXCR4,FPR2,IL1A,IL1R2,IL1RAP,SELPLG,TNF	
Toll-like Receptor Signaling	1.6E00	8.33E-02	NaN	EIF2AK2,IL12A,IL12B,IL1A,MAPK11,TNF	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.6E00	7.61E-02	NaN	AKT3,FYB1,PIK3CG,PRKCH,PRKCZ,SRC,YES1	
Apelin Endothelial Signaling Pathway	1.59E00	7.08E-02	NaN	AKT3,PIK3CG,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SMAD3	
Systemic Lupus Erythematosus Signaling	1.58E00	6.11E-02	NaN	AKT3,HLA-A,HLA-E,HLA-F,IL1A,IL2,IL6,PIK3CG,RAP2B,RASD1,TNF	
Estrogen-Dependent Breast Cancer Signaling	1.58E00	8.22E-02	NaN	AKT3,HSD17B11,PIK3CG,RAP2B,RASD1,SRC	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.58E00	1.43E-01	NaN	IFNB1,STAT1,STAT2	
FXR/RXR Activation	1.55E00	6.96E-02	NaN	AKT3,APOD,CYP27A1,CYP8B1,FOXA1,IL1A,PPARG,TNF	
IL-17 Signaling	1.55E00	8.11E-02	NaN	AKT3,IL6,MAPK11,PIK3CG,RAP2B,RASD1	
Neuregulin Signaling	1.53E00	7.37E-02	NaN	AKT3,MYC,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
GDNF Family Ligand-Receptor Interactions	1.53E00	8E-02	NaN	IRS2,ITPR1,ITPR2,PIK3CG,RAP2B,RASD1	
Autoimmune Thyroid Disease Signaling	1.52E00	1.05E-01	NaN	HLA-A,HLA-E,HLA-F,IL2	
SPINK1 General Cancer Pathway	1.52E00	8.93E-02	NaN	AKT3,IL6,PIK3CG,RAP2B,RASD1	
Endocannabinoid Cancer Inhibition Pathway	1.51E00	6.47E-02	NaN	AKT3,CASP1,CCND3,DDIT3,MYC,NUPR1,PIK3CG,SRC,TRIB3	
VEGF Signaling	1.51E00	7.29E-02	NaN	AKT3,BCL2,FLT4,PIK3CG,RAP2B,RASD1,SRC	
Thio-molybdenum Cofactor Biosynthesis	1.5E00	1E00	NaN	MOCOS	
Xanthine and Xanthosine Salvage	1.5E00	1E00	NaN	PNP	
Phagosome Maturation	1.5E00	6.43E-02	NaN	ATP6V1D,CTSC,CTSV,CYBB,HLA-A,HLA-E,HLA-F,TUBA8,VPS37B	
Breast Cancer Regulation by Stathmin1	1.49E00	4.6E-02	NaN	ADGRE5,ARHGEF6,CCND3,CCRL2,CDK6,CELSR2,CYSLTR1,FPR2,FZD5,GNG12,GPR155,GPR183,GPR33,GPR34,GPR82,GPR85,HCAR1,P2RY10,PIK3CG,PLCB4,PRKCH,PRKCZ,PTGER2,RAP2B,RASD1,TUBA8	
Dermatan Sulfate Biosynthesis (Late Stages)	1.48E00	1.03E-01	NaN	DSEL,HS3ST1,HS3ST3A1,HS3ST3B1	
Glycolysis I	1.47E00	1.3E-01	NaN	ENO1,ENO4,PFKP	
Calcium-induced T Lymphocyte Apoptosis	1.46E00	8.62E-02	NaN	HLA-A,ITPR1,ITPR2,PRKCH,PRKCZ	
Senescence Pathway	1.46E00	5.38E-02	NaN	AKT3,CDK6,ELK3,IFNB1,IL1A,IL6,ITPR2,PIK3CG,PML,PRKCZ,RAP2B,RASD1,SMAD3,TGFBR1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.45E00	7.07E-02	NaN	ITPR1,ITPR2,PIK3CG,PLCB4,PRKCH,PRKCZ,SRC	
Th2 Pathway	1.44E00	6.61E-02	NaN	CXCR4,DLL1,HLA-A,IL12A,IL12B,IL2,PIK3CG,TGFBR1	
Prostanoid Biosynthesis	1.43E00	2E-01	NaN	HPGDS,PTGS1	
GNRH Signaling	1.43E00	5.99E-02	NaN	EGR1,ITPR1,ITPR2,MAPK11,PLCB4,PRKCH,PRKCZ,RAP2B,RASD1,SRC	
IL-22 Signaling	1.42E00	1.25E-01	NaN	AKT3,MAPK11,STAT1	
Chondroitin Sulfate Biosynthesis (Late Stages)	1.41E00	9.76E-02	NaN	CHSY3,HS3ST1,HS3ST3A1,HS3ST3B1	
Epithelial Adherens Junction Signaling	1.41E00	6.21E-02	NaN	AKT3,CLIP1,DLL1,RAP2B,RASD1,SRC,TGFBR1,TUBA8,YES1	
Mouse Embryonic Stem Cell Pluripotency	1.41E00	6.93E-02	NaN	AKT3,FZD5,MAPK11,MYC,PIK3CG,RAP2B,RASD1	
LPS-stimulated MAPK Signaling	1.41E00	7.5E-02	NaN	MAPK11,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1	
