Geneid	Crtl_0h_R2	Crtl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3	Emp_CpG_6h_R1	Emp_CpG_6h_R2	Emp_Uns_R1	Emp_Uns_R2	NCoR1_CpG_6h_R1	NCoR1_CpG_6h_R2	NCoR1_Uns_R1	NCoR1_Uns_R2
Cops5	2394	2391	1949	2268	2111	2089	2105	2540	2416	2380	2533	1932	2917	3707	3819	3259	3631	2839	6162	4042
Cspp1	363	488	205	227	370	330	475	550	341	308	394	280	391	357	1073	462	473	375	1437	658
Arfgef1	3150	3726	1953	2515	3008	2524	3163	3773	2683	2644	4037	3035	2920	2495	4851	1798	5266	4653	8841	4095
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0
A830018L16Rik	67	87	24	54	3	7	5	8	2	0	1	0	0	1	57	39	0	0	3	1
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slco5a1	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	4	1	0	0
Prdm14	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Ncoa2	1746	1896	1169	1218	2172	1924	1626	2052	1371	1593	2468	2113	5663	4606	2538	1049	4041	2639	4095	1825
Tram1	4091	4213	2199	2952	1420	1227	4069	5125	2985	3386	1393	1101	1695	2958	7978	6511	2351	2920	14293	9834
Lactb2	241	317	126	146	261	173	270	331	160	191	261	180	152	186	307	188	194	141	503	282
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	7	4	4	3	3	3	4	2	1	3	1	2	10	11	15	5	14	6	13	9
Eya1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	387	428	219	283	330	252	407	391	293	265	315	203	349	459	790	509	563	431	1177	626
Sbspon	1	0	0	0	0	0	0	1	0	0	2	3	2	0	0	0	3	1	1	0
4930444P10Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Rpl7	17068	16731	15199	17371	13920	14907	11023	14173	13548	14811	14046	11685	15454	22555	21131	19759	20241	18466	32875	18546
Rdh10	192	224	92	141	206	188	171	212	117	108	142	114	126	130	180	103	185	88	317	154
Stau2	78	89	58	62	91	75	187	230	178	179	335	252	140	265	129	158	274	361	225	200
Ube2w	623	761	371	476	585	421	1256	1310	671	643	1034	715	858	1225	1657	1107	1421	1477	2944	1666
Tceb1	880	1056	804	1036	1164	975	947	1145	964	1068	1117	872	1754	2663	2702	2163	2108	2086	3735	2396
D030040B21Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Tmem70	717	766	467	532	661	628	783	966	534	520	764	617	1174	1385	1435	1072	1033	760	2322	1384
Ly96	24	26	18	21	20	13	32	36	20	22	19	6	26	27	48	27	18	18	66	49
Jph1	0	0	0	0	0	0	24	15	24	20	13	16	0	3	2	5	5	1	4	0
Gdap1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Pkhd1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mcm3	6669	7218	4343	5742	4271	5068	4897	6889	4285	5722	4459	4324	7800	9838	13407	10386	9988	7224	18258	11702
6720483E21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	5	4	2	6	14	23	6	12	11	25	4	1	10	17	7	4	65	41	50	18
Efhc1	2	0	0	0	4	0	1	2	1	2	2	1	0	1	3	2	5	3	10	5
Tram2	148	174	25	34	58	117	186	248	27	37	14	18	64	68	408	234	209	197	1099	781
Tmem14a	1	1	1	1	0	1	8	3	3	3	2	0	2	1	5	7	0	1	13	6
Gsta3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm4956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	717	819	282	333	394	344	997	1271	381	333	1372	1059	427	637	1607	698	2582	2071	4770	2012
B3gat2	1	10	4	13	7	5	11	9	14	9	10	9	4	6	8	0	5	2	9	3
Smap1	577	655	455	508	351	384	636	788	664	728	621	442	665	951	1433	1171	1017	1059	1765	1308
Sdhaf4	62	75	30	55	46	43	71	98	53	79	69	42	66	79	193	139	62	40	155	108
Fam135a	132	187	94	66	77	51	637	769	423	410	401	313	173	214	540	203	173	136	503	196
Col9a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Lmbrd1	644	669	410	497	370	357	926	1105	535	635	598	484	450	486	1287	738	542	460	2043	1182
Adgrb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	1989	2204	1118	1359	1401	1308	1545	1992	1188	1398	1300	1017	1396	1426	2937	1324	2098	1819	4340	2169
Ptp4a1	95	120	74	88	88	76	69	76	75	62	98	62	155	193	203	97	215	182	288	117
Gm13363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Prim2	824	884	551	815	461	465	695	873	581	729	477	416	899	1007	1881	1333	726	618	1982	1195
1700001G17Rik	7	4	1	2	3	4	1	9	1	1	3	3	6	3	1	9	3	3	5	3
Rab23	198	273	132	173	188	167	204	262	183	163	175	149	227	280	384	175	364	255	467	264
Bag2	383	426	158	212	159	191	180	271	82	118	134	107	230	287	702	488	184	127	1572	803
Zfp451	617	837	521	776	608	571	548	682	630	782	683	549	795	729	1274	678	989	720	1793	923
Gm15455	0	1	1	1	1	2	0	0	0	1	3	2	7	3	3	0	5	3	0	3
Bend6	96	64	107	72	77	86	135	161	156	170	146	132	81	120	159	106	170	144	203	113
Dst	2813	2546	2635	2240	5073	5851	1852	2325	1916	2208	3984	4586	4947	1625	2827	350	7832	3240	5438	1408
Mir6896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mir5103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	959	1114	479	625	649	786	957	1165	576	538	1091	907	1352	1368	2051	1147	1382	852	3334	1639
Imp4	1220	1320	860	1065	998	1113	802	1019	854	895	1219	1079	1841	2251	2245	1684	2265	1619	3731	2429
Ptpn18	1356	1652	894	1261	223	239	1330	1568	925	1209	260	224	307	383	4226	2963	1131	841	6565	3877
Prss39	0	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	0	0	1	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	59	133	11	28	28	42	5	11	2	2	7	2	13	6	180	69	28	6	65	36
Fam168b	4817	5761	2318	3344	2779	3188	5076	6229	2913	3342	3618	3229	4459	4325	9642	4622	7217	4570	14504	7129
Plekhb2	2590	2675	1185	1588	1073	1165	2483	3472	1474	1748	1770	1461	2079	2830	6305	4622	3312	2742	8607	4908
Hs6st1	1521	1585	1756	1136	1368	1843	923	1321	825	682	666	687	1207	1535	2968	1722	8192	6215	4606	2233
Uggt1	5763	6099	3186	4154	2302	2557	4490	5981	2654	3417	2762	2094	3113	3942	11182	7352	2982	2445	14524	8338
Mir6897	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Neurl3	3080	2247	2284	3279	2009	2162	3617	4323	2630	3289	3984	3296	2371	3323	4345	3911	4609	3258	9527	5531
Arid5a	99	66	157	164	679	688	159	176	449	466	293	258	444	558	129	84	2299	1276	68	46
Kansl3	1169	1487	1114	1590	1248	1344	1308	1768	1769	1974	1638	1408	2276	1896	2258	906	4892	2869	3597	1798
Mir6898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	141	177	37	60	27	40	100	149	39	49	33	28	42	23	208	87	30	20	334	154
Lman2l	640	697	299	412	247	267	327	547	211	288	218	190	405	338	1150	872	317	201	1359	801
Cnnm4	531	573	148	183	294	353	245	344	128	121	135	159	395	485	850	490	893	597	1072	637
Cnnm3	414	465	169	188	255	290	244	389	131	132	168	183	343	388	1022	628	904	693	1705	1021
Ankrd23	32	55	3	21	24	32	55	32	7	16	24	28	57	5	99	3	53	8	98	11
Ankrd39	85	119	48	55	58	61	88	105	43	54	58	43	99	74	275	168	102	61	349	228
Sema4c	1366	1768	1115	1421	1367	1429	1904	2814	1526	1817	760	765	1448	1424	5485	3002	7788	3895	8403	4759
Fam178b	13	19	9	29	1	8	11	10	7	13	3	1	2	3	57	47	5	5	84	48
Cox5b	1656	1594	1433	1541	1095	1468	1205	1363	1374	1480	1307	1356	3185	4644	7235	7328	5914	4748	10842	6812
Actr1b	1007	1096	534	671	679	808	802	990	512	620	709	651	1066	1036	1971	1217	1759	1059	3366	1960
4933424G06Rik	3	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
Zap70	0	0	0	0	1	2	1	0	0	1	2	0	0	1	0	0	1	0	0	0
Tmem131	3692	3551	6296	5741	6562	7388	2717	3304	6411	5643	9431	8254	9677	10879	5732	2592	11739	9206	6267	2947
Cnga3	0	0	0	1	0	1	1	0	1	0	0	3	2	6	0	0	2	3	1	1
Inpp4a	476	654	301	357	381	385	556	657	345	377	319	235	674	385	1394	311	985	446	1459	607
Coa5	4785	4521	2909	3163	3382	3003	4358	5189	3113	3313	5087	3747	5001	6821	8754	6098	8344	6825	19061	9492
Unc50	562	516	359	312	422	446	501	646	393	367	442	336	643	605	1237	655	1200	691	1896	1006
Mgat4a	918	1094	958	986	954	987	783	1025	1199	1278	1499	1326	3118	3583	2355	1139	2462	1604	1995	957
4930594C11Rik	3	4	4	6	1	5	7	3	11	6	7	5	7	2	6	0	10	6	5	0
2010300C02Rik	1	1	4	2	7	6	9	9	13	18	10	16	27	25	7	2	37	12	10	6
Tsga10	18	24	5	11	16	9	24	39	16	18	17	16	17	23	73	27	20	19	61	38
Lipt1	53	52	25	14	27	30	43	53	22	12	40	31	32	33	65	39	31	27	102	60
Mitd1	157	173	81	70	293	212	163	190	109	88	575	382	302	612	491	422	1368	1680	588	422
Mrpl30	684	720	500	571	521	519	583	709	619	598	843	611	1012	1426	1546	1449	1855	1444	2616	1622
Lyg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	1156	1299	1073	1201	1193	1199	1057	1259	1331	1276	1227	844	1754	2467	2552	2079	2352	2355	3339	1998
Eif5b	4604	4767	3988	4215	5251	4316	4360	5312	4879	4960	6536	4816	5305	7359	10594	6747	8974	10532	15638	10443
Rev1	312	462	165	294	254	281	389	475	273	336	291	271	311	184	452	169	380	216	607	251
Aff3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	3	4
Lonrf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	0	0	0	0	1	0	2	3	6	5	0	1	0	3	1	3	0	0	1	0
Nms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	1185	1254	895	1159	1112	963	1199	1498	1067	1213	843	722	1265	1590	3109	2672	2005	1554	5214	3007
Mir6349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	0	4	1	4	9	2	3	5	4	7	10	10	9	6	7	2	15	10	8	3
Rpl31	7349	7832	6141	7951	5936	7912	4895	6569	5914	6772	5512	5433	10609	15265	18863	19116	16914	12170	26045	17094
Tbc1d8	2947	3089	1253	1507	4306	4747	3385	4561	2338	3000	4058	3408	5475	4432	5132	2291	11999	6771	10602	4930
Cnot11	1073	998	644	732	870	923	960	1079	659	647	884	824	1260	1747	1895	1299	1999	1477	2882	1563
Snord89	2	4	5	5	5	3	2	7	3	6	8	5	4	1	8	0	11	2	14	2
Rnf149	553	573	618	660	1049	851	460	607	844	722	682	523	1181	1305	964	662	2898	1817	1369	773
Creg2	0	0	2	2	0	1	6	6	4	2	0	0	0	0	7	8	2	4	18	11
Rfx8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Gm3646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map4k4	4409	4845	3608	4678	1620	1919	3097	3773	4158	3990	3304	2932	5114	4127	9486	3207	8026	4891	10064	4965
Gm16894	2	7	1	4	0	1	14	11	4	1	11	8	1	4	10	2	3	3	29	13
Il1r2	2807	2396	3048	3572	244	236	3685	4083	4010	4434	1146	756	166	362	2809	4032	981	807	8066	7664
Il1r1	0	1	0	0	3	4	0	2	1	0	0	1	1	6	1	0	91	81	6	1
Il1rl2	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	1	2	2	0
Il1rl1	75	49	26	35	17	16	2	11	0	6	0	0	1	3	69	34	5	8	446	254
Il18r1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	1
Il18rap	0	0	0	1	6	3	0	1	1	1	0	0	0	0	0	0	13	13	3	0
Slc9a4	628	612	524	770	98	116	641	725	700	848	202	148	151	215	620	383	233	203	2400	1322
Slc9a2	2	2	4	1	0	0	1	2	5	0	3	1	1	3	16	35	104	115	859	505
Mfsd9	13	14	10	2	17	7	21	24	5	10	5	11	8	18	34	21	49	38	86	70
Tmem182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930448I06Rik	1	0	0	2	0	0	1	1	1	2	0	0	0	1	1	1	1	0	4	5
Pantr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Pantr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	823	835	615	763	775	702	711	764	726	706	783	604	1095	1354	1705	1166	1242	950	1918	1259
Gpr45	0	0	0	0	0	0	0	0	1	1	2	4	0	2	0	0	1	2	0	0
Tgfbrap1	492	686	231	266	347	415	514	684	228	233	382	386	655	555	1424	553	981	594	2006	871
AI597479	362	443	307	317	427	381	434	533	415	386	492	330	526	621	761	375	588	492	1099	530
Fhl2	5	3	2	5	3	5	53	90	17	18	12	11	6	12	73	61	48	24	93	62
Nck2	550	521	742	379	903	964	357	472	579	349	459	474	2581	2512	916	508	7146	4539	2167	1230
1500015O10Rik	2	0	3	2	1	1	2	5	0	0	1	3	1	4	1	0	4	1	2	0
Uxs1	590	577	359	444	345	308	546	782	417	552	387	300	457	442	1183	779	943	631	2362	1650
Tpp2	2412	2701	2182	2712	3056	2456	2358	2768	2703	3108	2726	2068	3435	4083	3432	2224	3318	3186	5428	3102
Mettl21c	0	0	0	2	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0
Tex30	776	874	672	810	986	687	656	720	892	804	754	520	1145	1561	1108	851	1096	873	1725	1132
Kdelc1	479	611	330	412	429	363	327	418	252	280	333	252	384	392	924	623	274	198	1430	769
Bivm	350	396	132	144	237	176	223	274	74	67	152	99	205	262	617	367	142	148	859	459
Ercc5	307	417	128	217	209	204	261	311	158	183	222	164	282	268	555	356	371	260	1091	671
Mettl21e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	1	3	0	1	1	0	1	3	1	0	0	0	0	0	0	0	1	1	10	5
4930521E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Col5a2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Wdr75	1170	1498	925	1114	1262	1072	1154	1277	1149	1089	1527	1144	1549	1622	1785	1089	1468	1133	2820	1480
Slc40a1	1	0	0	1	3	1	2	3	3	2	4	10	23	5	24	2	2	0	5	0
Stk-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Slc39a10	1163	1285	409	462	395	394	890	1122	320	405	322	322	284	340	2325	1292	161	132	2776	1388
Mir6350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9330175M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdpr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nabp1	597	662	1083	1537	1766	1087	1150	1338	2263	3597	1253	944	1464	1687	1576	1027	1948	1610	3136	1730
Myo1b	8	11	2	4	1	1	1	7	8	8	1	0	1	1	5	13	4	2	78	44
Stat4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Stat1	3478	2232	2263	1414	5395	6591	2513	3487	2781	1892	16452	13083	11370	20415	3115	2350	31356	28428	3513	2567
Gls	3948	4721	2945	3759	3146	2564	4271	4686	3873	3795	3265	2389	2646	3713	5153	3344	4777	4458	7782	5002
Nab1	2071	2116	1421	2220	1048	938	2216	2337	2032	2457	1581	1254	763	1065	2205	1645	1805	1817	4517	2678
Tmem194b	304	436	152	293	261	228	458	632	258	261	326	305	380	409	901	469	458	366	1631	854
Mfsd6	641	533	537	556	58	68	745	782	758	674	262	217	111	195	1232	758	208	181	1862	1062
Inpp1	107	98	76	127	8	16	233	270	127	194	44	36	22	34	435	237	75	41	665	323
Hibch	107	146	32	73	59	49	90	103	53	65	61	50	74	68	305	206	38	26	376	198
1700019D03Rik	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0
Mstn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	1	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Pms1	211	309	100	84	193	150	223	276	74	76	210	150	260	288	499	323	170	120	562	336
Ormdl1	357	407	167	224	307	268	353	418	165	179	255	195	527	617	849	611	509	407	1429	842
Osgepl1	59	80	37	36	49	40	66	72	23	33	35	30	76	76	184	119	37	39	187	119
Asnsd1	1558	1550	905	1055	1088	1057	1394	1536	1072	1036	1282	937	1228	1638	2292	1634	1116	1083	3680	2150
Dnah7a	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Stk17b	3758	3381	1524	2146	1350	1035	3359	3872	2022	2359	2219	1477	1200	1618	4752	3034	1696	1469	8105	4625
Hecw2	10	2	4	3	0	0	3	5	2	2	0	3	0	0	9	5	5	2	13	14
Mir7681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc150	3	1	0	0	0	0	1	5	1	3	2	1	0	0	1	0	3	1	2	1
Gtf3c3	424	496	258	283	432	360	487	605	408	412	580	460	593	767	756	517	870	848	1206	680
Pgap1	51	89	26	40	32	28	55	72	24	38	19	23	20	20	72	51	9	3	51	29
Ankrd44	1189	1423	772	1123	202	180	1637	1855	1258	1444	199	196	287	284	3201	1270	392	278	3037	1289
Sf3b1	9038	10360	6964	10215	7897	7082	9256	11046	9718	10949	9263	6513	9444	10770	14124	8932	9984	7837	21147	11367
Coq10b	394	410	356	457	342	303	320	406	416	463	356	245	565	821	952	634	1293	1158	1819	989
Hspd1	7184	8211	4783	6265	7409	6055	4394	5051	3589	3653	7347	5028	6580	10280	8613	6456	8327	8037	19712	10538
Hspe1	2043	2021	1398	1825	1564	1603	1407	1648	1230	1624	1791	1466	2982	3592	3952	3794	3936	2757	7737	5093
Mob4	551	733	407	517	630	502	682	736	570	546	652	462	796	1045	1263	713	1289	1025	1622	992
