Geneid	Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Mir5103	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	959	1114	479	625	649	786	957	1165	576	538	1091	907
Imp4	1220	1320	860	1065	998	1113	802	1019	854	895	1219	1079
Ptpn18	1356	1652	894	1261	223	239	1330	1568	925	1209	260	224
Prss39	0	0	0	0	0	0	1	4	0	0	1	0
Cfc1	0	0	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0	0	0
Amer3	0	0	0	0	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef4	59	133	11	28	28	42	5	11	2	2	7	2
Fam168b	4817	5761	2318	3344	2779	3188	5076	6229	2913	3342	3618	3229
Plekhb2	2590	2675	1185	1588	1073	1165	2483	3472	1474	1748	1770	1461
Hs6st1	1521	1585	1756	1136	1368	1843	923	1321	825	682	666	687
Uggt1	5763	6099	3186	4154	2302	2557	4490	5981	2654	3417	2762	2094
Mir6897	0	0	0	0	0	1	0	0	0	0	0	0
Neurl3	3080	2247	2284	3279	2009	2162	3617	4323	2630	3289	3984	3296
Arid5a	99	66	157	164	679	688	159	176	449	466	293	258
Kansl3	1169	1487	1114	1590	1248	1344	1308	1768	1769	1974	1638	1408
Mir6898	0	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	141	177	37	60	27	40	100	149	39	49	33	28
Lman2l	640	697	299	412	247	267	327	547	211	288	218	190
Cnnm4	531	573	148	183	294	353	245	344	128	121	135	159
Cnnm3	414	465	169	188	255	290	244	389	131	132	168	183
Ankrd23	32	55	3	21	24	32	55	32	7	16	24	28
Ankrd39	85	119	48	55	58	61	88	105	43	54	58	43
Sema4c	1366	1768	1115	1421	1367	1429	1904	2814	1526	1817	760	765
Fam178b	13	19	9	29	1	8	11	10	7	13	3	1
Cox5b	1656	1594	1433	1541	1095	1468	1205	1363	1374	1480	1307	1356
Actr1b	1007	1096	534	671	679	808	802	990	512	620	709	651
4933424G06Rik	3	1	0	1	0	0	0	0	0	0	0	1
Zap70	0	0	0	0	1	2	1	0	0	1	2	0
Tmem131	3692	3551	6296	5741	6562	7388	2717	3304	6411	5643	9431	8254
Cnga3	0	0	0	1	0	1	1	0	1	0	0	3
Inpp4a	476	654	301	357	381	385	556	657	345	377	319	235
Coa5	4785	4521	2909	3163	3382	3003	4358	5189	3113	3313	5087	3747
Unc50	562	516	359	312	422	446	501	646	393	367	442	336
Mgat4a	918	1094	958	986	954	987	783	1025	1199	1278	1499	1326
4930594C11Rik	3	4	4	6	1	5	7	3	11	6	7	5
2010300C02Rik	1	1	4	2	7	6	9	9	13	18	10	16
Tsga10	18	24	5	11	16	9	24	39	16	18	17	16
Lipt1	53	52	25	14	27	30	43	53	22	12	40	31
Mitd1	157	173	81	70	293	212	163	190	109	88	575	382
Mrpl30	684	720	500	571	521	519	583	709	619	598	843	611
Lyg2	0	0	0	0	0	0	0	0	0	0	0	0
Lyg1	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	1156	1299	1073	1201	1193	1199	1057	1259	1331	1276	1227	844
Eif5b	4604	4767	3988	4215	5251	4316	4360	5312	4879	4960	6536	4816
Rev1	312	462	165	294	254	281	389	475	273	336	291	271
Aff3	0	0	0	0	0	0	0	0	0	0	0	0
Lonrf2	0	0	0	0	0	0	0	0	0	0	0	0
Chst10	0	0	0	0	1	0	2	3	6	5	0	1
Nms	0	0	0	0	0	0	0	0	0	0	0	0
Pdcl3	1185	1254	895	1159	1112	963	1199	1498	1067	1213	843	722
Mir6349	0	0	0	0	0	0	0	0	0	0	0	0
Npas2	0	4	1	4	9	2	3	5	4	7	10	10
Rpl31	7349	7832	6141	7951	5936	7912	4895	6569	5914	6772	5512	5433
Tbc1d8	2947	3089	1253	1507	4306	4747	3385	4561	2338	3000	4058	3408
Cnot11	1073	998	644	732	870	923	960	1079	659	647	884	824
Snord89	2	4	5	5	5	3	2	7	3	6	8	5
Rnf149	553	573	618	660	1049	851	460	607	844	722	682	523
Creg2	0	0	2	2	0	1	6	6	4	2	0	0
Rfx8	0	0	0	0	0	0	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	2	0	0	0	0	1	0	0	0	0	0	0
Map4k4	4409	4845	3608	4678	1620	1919	3097	3773	4158	3990	3304	2932
Gm16894	2	7	1	4	0	1	14	11	4	1	11	8
Il1r2	2807	2396	3048	3572	244	236	3685	4083	4010	4434	1146	756
Il1r1	0	1	0	0	3	4	0	2	1	0	0	1
Il1rl2	0	0	0	0	0	0	4	2	0	0	0	1
Il1rl1	75	49	26	35	17	16	2	11	0	6	0	0
Il18r1	0	0	0	0	0	1	0	0	0	0	0	0
Il18rap	0	0	0	1	6	3	0	1	1	1	0	0
Slc9a4	628	612	524	770	98	116	641	725	700	848	202	148
Slc9a2	2	2	4	1	0	0	1	2	5	0	3	1
Mfsd9	13	14	10	2	17	7	21	24	5	10	5	11
Tmem182	0	0	0	0	0	0	0	0	0	0	0	0
4930448I06Rik	1	0	0	2	0	0	1	1	1	2	0	0
Pantr1	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f3	0	0	0	0	0	2	0	0	0	0	0	0
2900092D14Rik	0	0	0	0	0	0	0	0	1	0	0	0
Pantr2	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	0	0	0	0	0	0	0	0	0
Mrps9	823	835	615	763	775	702	711	764	726	706	783	604
Gpr45	0	0	0	0	0	0	0	0	1	1	2	4
Tgfbrap1	492	686	231	266	347	415	514	684	228	233	382	386
AI597479	362	443	307	317	427	381	434	533	415	386	492	330
Fhl2	5	3	2	5	3	5	53	90	17	18	12	11
Nck2	550	521	742	379	903	964	357	472	579	349	459	474
1500015O10Rik	2	0	3	2	1	1	2	5	0	0	1	3
Uxs1	590	577	359	444	345	308	546	782	417	552	387	300
Tpp2	2412	2701	2182	2712	3056	2456	2358	2768	2703	3108	2726	2068
Mettl21c	0	0	0	2	0	1	0	0	1	0	1	1
Tex30	776	874	672	810	986	687	656	720	892	804	754	520
Kdelc1	479	611	330	412	429	363	327	418	252	280	333	252
Bivm	350	396	132	144	237	176	223	274	74	67	152	99
Ercc5	307	417	128	217	209	204	261	311	158	183	222	164
Mettl21e	0	0	0	0	0	0	0	0	0	0	0	0
Gulp1	1	3	0	1	1	0	1	3	1	0	0	0
4930521E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	0	0	0	0	0	0	0	0	0	0	0	2
Col5a2	0	0	0	0	0	0	0	0	0	0	0	1
Wdr75	1170	1498	925	1114	1262	1072	1154	1277	1149	1089	1527	1144
Slc40a1	1	0	0	1	3	1	2	3	3	2	4	10
Stk-ps2	0	0	0	0	0	0	0	0	0	0	0	0
Dnah7b	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a10	1163	1285	409	462	395	394	890	1122	320	405	322	322
Mir6350	0	0	0	0	0	0	0	0	0	0	0	0
Tmeff2	0	0	0	0	0	0	0	0	0	0	0	0
9330175M20Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sdpr	0	0	0	0	0	0	0	0	0	0	0	0
Nabp1	597	662	1083	1537	1766	1087	1150	1338	2263	3597	1253	944
Myo1b	8	11	2	4	1	1	1	7	8	8	1	0
Stat4	0	0	0	0	0	0	0	1	0	0	0	0
Stat1	3478	2232	2263	1414	5395	6591	2513	3487	2781	1892	16452	13083
Gls	3948	4721	2945	3759	3146	2564	4271	4686	3873	3795	3265	2389
Nab1	2071	2116	1421	2220	1048	938	2216	2337	2032	2457	1581	1254
Tmem194b	304	436	152	293	261	228	458	632	258	261	326	305
Mfsd6	641	533	537	556	58	68	745	782	758	674	262	217
Inpp1	107	98	76	127	8	16	233	270	127	194	44	36
Hibch	107	146	32	73	59	49	90	103	53	65	61	50
1700019D03Rik	0	0	0	0	0	0	1	2	0	0	0	0
Mstn	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	1	0	1	3	0	0	0	0	0	0	1
Pms1	211	309	100	84	193	150	223	276	74	76	210	150
Ormdl1	357	407	167	224	307	268	353	418	165	179	255	195
Osgepl1	59	80	37	36	49	40	66	72	23	33	35	30
Asnsd1	1558	1550	905	1055	1088	1057	1394	1536	1072	1036	1282	937
Dnah7a	0	0	0	0	0	0	0	0	0	0	1	0
Stk17b	3758	3381	1524	2146	1350	1035	3359	3872	2022	2359	2219	1477
Hecw2	10	2	4	3	0	0	3	5	2	2	0	3
Mir7681	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc150	3	1	0	0	0	0	1	5	1	3	2	1
Gtf3c3	424	496	258	283	432	360	487	605	408	412	580	460
Pgap1	51	89	26	40	32	28	55	72	24	38	19	23
Ankrd44	1189	1423	772	1123	202	180	1637	1855	1258	1444	199	196
Sf3b1	9038	10360	6964	10215	7897	7082	9256	11046	9718	10949	9263	6513
Coq10b	394	410	356	457	342	303	320	406	416	463	356	245
Hspd1	7184	8211	4783	6265	7409	6055	4394	5051	3589	3653	7347	5028
Hspe1	2043	2021	1398	1825	1564	1603	1407	1648	1230	1624	1791	1466
Mob4	551	733	407	517	630	502	682	736	570	546	652	462
Rftn2	0	1	0	0	0	0	1	5	1	0	1	1
Mars2	338	353	222	254	177	196	281	337	230	259	179	185
Boll	0	0	0	0	0	0	0	1	0	0	0	0
Plcl1	1	2	3	2	0	1	0	3	1	1	2	0
9130227L01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0	0	0	0	0
Satb2	176	244	195	211	140	149	74	101	133	141	60	64
9130024F11Rik	15	21	35	32	16	29	8	17	11	16	9	19
BC055402	0	0	0	0	0	0	0	0	0	0	0	0
4930558J18Rik	16	26	5	11	16	15	17	15	6	12	13	13
1700066M21Rik	193	221	62	88	129	98	313	357	134	97	179	98
Tyw5	105	183	106	149	191	165	174	184	174	186	210	147
9430016H08Rik	312	338	294	298	371	329	252	315	309	312	367	259
Spats2l	0	0	0	1	0	1	0	0	0	0	5	3
Kctd18	133	130	88	121	160	141	149	194	140	113	202	137
Sgol2a	887	1024	424	434	493	442	987	1028	618	506	535	383
Aox1	0	0	0	0	0	0	1	0	0	0	0	0
Aox3	0	0	0	0	0	0	0	0	0	0	0	0
Aox4	0	0	0	0	0	0	0	0	0	0	1	0
Aox2	0	0	1	0	2	0	3	1	2	0	7	5
Bzw1	8472	8729	7508	9106	7938	6580	7268	8502	8812	9093	8087	6034
Clk1	776	1458	473	988	1147	901	1164	1336	971	1131	1026	631
Ppil3	241	244	143	131	160	132	169	232	106	120	126	99
Nif3l1	292	297	141	136	208	191	258	281	126	99	303	225
Orc2	1487	1736	1079	1182	1780	1497	1222	1470	1109	1010	1705	1154
Fam126b	275	419	216	267	320	258	310	318	258	215	275	198
Ndufb3	481	452	386	461	335	334	402	452	455	450	398	353
Gm20257	0	0	0	0	0	0	0	0	0	1	2	0
Als2cr12	0	0	0	1	0	0	0	0	0	0	0	0
Cflar	430	501	2239	1053	6273	5256	854	907	6401	5670	7359	6057
Casp8	596	705	378	454	584	609	803	1085	715	664	1044	815
Trak2	1401	1498	1156	1217	1086	1243	1318	1535	1506	1447	1280	1061
Stradb	94	99	94	70	96	74	133	203	132	144	154	111
Als2cr11	0	0	0	0	0	0	1	0	0	0	0	0
Tmem237	79	69	62	54	48	55	149	165	142	154	124	84
Mpp4	1	0	1	2	2	4	1	3	2	1	2	3
Als2	389	348	361	286	724	797	602	774	766	796	2092	1792
Cdk15	0	0	0	0	0	0	0	0	0	0	0	0
Fzd7	719	835	328	582	578	555	735	845	306	305	303	290
Gm973	3	1	3	0	0	2	3	23	13	11	6	6
Sumo1	1845	1768	1664	1962	2172	1660	1530	1866	2080	2201	2327	1791
Nop58	4057	4751	4022	5722	4286	4140	2963	3598	4948	5244	4716	3579
Snord70	2	2	2	5	6	2	3	2	2	6	6	3
Snord11	0	0	0	2	2	1	1	0	2	1	3	0
Bmpr2	1214	1354	988	828	903	778	1526	1840	1380	1284	1043	876
Fam117b	1150	1124	390	420	392	309	886	1002	283	252	417	374
Ica1l	6	15	10	5	5	5	6	4	8	2	9	5
Wdr12	922	1003	750	833	946	839	727	903	835	774	1506	1196
Carf	74	127	58	57	115	86	87	96	88	62	132	86
Nbeal1	255	336	185	255	266	196	341	420	282	329	304	275
Cyp20a1	504	449	302	345	254	235	594	663	490	613	269	259
Abi2	1146	944	1028	1022	412	340	781	889	924	737	442	357
Raph1	335	423	168	179	95	84	501	573	230	117	96	79
Cd28	0	0	0	0	0	0	0	0	0	0	0	0
Ctla4	0	0	16	3	18	12	2	1	36	30	44	15
Icos	2	2	2	1	0	1	21	26	23	15	6	6
9530026F06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Pard3b	0	0	0	0	0	0	0	0	0	1	1	1
Nrp2	1	0	27	22	237	291	24	32	1133	900	2831	3644
4930487H11Rik	0	0	0	0	1	0	0	0	5	5	12	10
Ino80d	1179	1801	1460	2228	1631	1642	1254	1472	1793	1810	1507	1168
Ino80dos	13	18	10	28	32	18	21	25	20	18	24	12
Ndufs1	1536	1717	939	1275	1418	1222	1107	1333	929	993	1333	853
Eef1b2	11184	10840	10155	11038	8308	9322	9138	11730	10964	11991	9376	7917
Snora41	9	18	4	17	7	11	8	8	8	13	9	2
Gpr1	0	0	0	0	0	0	0	0	1	0	1	0
Zdbf2	0	0	0	0	0	0	0	0	0	0	0	0
Adam23	96	70	57	66	457	493	238	355	235	348	721	625
Dytn	0	0	0	0	0	0	0	0	0	0	0	0
Mdh1b	1	0	0	0	0	0	0	0	0	0	0	0
Fastkd2	491	547	463	553	768	625	462	498	592	531	796	565
4933402D24Rik	1	1	0	0	0	1	0	1	0	0	0	0
Gm13749	0	0	0	0	0	0	0	0	0	1	0	0
Mir1958	0	0	0	0	0	0	0	0	0	0	0	0
Klf7	85	97	161	205	61	92	204	187	192	281	67	77
Mir6899	0	0	0	0	0	0	0	0	0	0	0	0
Creb1	1971	2181	2535	3564	1555	1488	2191	2395	3519	3864	2174	1539
Mettl21a	91	82	44	53	61	45	160	193	93	82	60	47
2810408I11Rik	75	75	59	87	72	74	51	78	70	68	66	40
Ccnyl1	240	282	349	477	199	220	389	450	777	858	354	293
Fzd5	229	159	213	228	101	101	298	324	307	309	171	162
Plekhm3	1961	2515	832	752	360	486	1523	2000	547	461	518	433
Akr1cl	0	0	0	0	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0	0	0	0
Cryga	0	0	0	0	0	0	0	0	0	0	0	0
D630023F18Rik	0	1	0	0	0	0	0	0	0	0	0	0
Idh1	747	637	209	249	394	321	755	886	253	298	398	277
Pikfyve	825	1075	632	695	1483	1233	1064	1493	956	900	1480	1214
Pth2r	0	0	0	0	0	1	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0	0	0	0	0
Map2	2	2	0	0	3	1	106	163	63	133	101	92
Unc80	0	0	21	15	1	0	1	0	10	4	0	0
Rpe	1228	1158	912	947	2305	1776	1226	1611	1377	1390	3122	2372
Kansl1l	96	135	77	119	440	402	182	216	152	181	292	217
Acadl	4423	2991	3337	2642	5217	4315	3198	4174	3242	3275	7030	5738
Myl1	0	0	0	0	0	0	0	0	0	0	1	0
Lancl1	262	280	186	229	147	151	270	290	226	252	161	160
Cps1	0	0	0	0	0	0	0	0	0	0	0	0
Erbb4	0	0	0	0	0	0	0	0	0	0	0	0
Ikzf2	0	0	1	0	8	5	0	0	0	1	0	0
Spag16	0	0	0	0	0	0	0	0	0	0	0	0
Vwc2l	0	0	0	0	0	0	0	0	0	0	0	0
Bard1	441	540	270	356	319	327	473	584	341	372	384	305
Abca12	0	0	0	0	0	0	0	0	0	0	1	0
Atic	2836	3237	1879	2602	1662	1991	2052	2619	1878	2137	2101	1776
Fn1	0	0	0	2	0	0	0	0	0	0	0	0
Apol7d	0	0	0	0	0	0	0	0	0	0	0	0
Gm8883	0	0	0	0	0	0	0	0	0	0	0	0
4933417E11Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mreg	257	277	120	162	177	343	61	84	40	38	35	48
Pecr	31	62	33	45	8	16	20	20	14	16	9	8
Tmem169	1	0	0	0	0	0	0	0	0	0	0	0
Xrcc5	37	42	24	42	16	17	16	9	11	11	7	11
March4	0	0	0	0	0	0	0	0	0	0	0	0
Smarcal1	533	595	213	299	361	391	492	643	252	308	514	429
Ankar	0	0	0	0	1	0	0	0	0	0	0	0
Rpl37a	5768	5068	4773	5379	3871	5857	3555	4429	4050	4217	3936	3783
Igfbp2	0	0	0	0	0	0	0	0	0	0	0	0
Igfbp5	0	0	0	0	0	0	0	0	0	0	0	0
Tnp1	0	0	0	0	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0
Pinc	0	0	0	0	0	0	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mir6351	0	0	0	0	0	0	0	0	0	0	0	0
Tns1	0	0	0	0	0	1	1	0	0	0	0	0
Rufy4	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr2	0	0	2	1	0	1	0	0	1	1	0	0
Cxcr1	0	0	0	0	0	0	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0	0	0	0	0
Arpc2	18163	18428	14108	17093	11824	11301	16098	19580	16574	17835	14157	10680
Gpbar1	0	0	1	3	1	0	0	0	1	1	0	0
Aamp	1860	1787	1544	1935	1908	2032	1105	1382	1451	1711	1656	1485
Pnkd	107	108	91	99	131	198	76	113	66	96	88	99
Tmbim1	401	462	400	383	253	337	300	376	354	361	286	258
Catip	3	3	4	4	7	8	0	0	4	1	5	0
Slc11a1	205	250	192	306	285	441	16	23	53	39	88	66
Ctdsp1	1232	1258	944	1196	988	1242	920	1145	831	1017	671	769
Mir26b	0	0	0	0	1	0	0	0	0	0	0	0
Vil1	0	5	1	4	4	3	0	0	1	1	1	1
Usp37	1292	1711	1161	1570	1200	1121	1055	1520	1226	1375	978	873
Rqcd1	2044	2258	1348	1609	2022	2018	1568	2036	1445	1431	1761	1457
Plcd4	3	5	1	4	6	1	8	2	1	1	7	4
Zfp142	587	689	543	760	601	748	488	656	540	624	543	528
Bcs1l	124	159	56	95	107	115	92	125	70	85	89	93
Rnf25	266	290	223	271	362	334	267	299	376	346	459	355
Stk36	8	3	5	8	7	2	8	9	7	6	10	4
Ttll4	603	860	418	565	490	546	552	701	548	557	470	411
Cyp27a1	277	503	146	194	58	45	607	780	231	352	240	201
Prkag3	1	0	0	2	0	0	0	4	1	1	1	0
Wnt6	149	122	140	117	48	54	2	3	10	4	1	1
Wnt10a	0	0	1	1	0	2	0	0	4	0	0	0
Cdk5r2	0	0	1	0	0	0	0	0	0	0	0	0
Fev	0	0	0	0	0	0	0	0	0	0	0	0
